Timestamp,link video,Caption video
#############,https://vt.tiktok.com/ZSJxwx5xe/,Jangan lupa download uki ya guys kali aja ketemu jodoh #uki #ukiapp
#############,https://vt.tiktok.com/ZSJxwvXW3/,"Dijodohin mulu padahal gue pingin usaha sendiri, eitt makanya cobain ini di https://uki.booyah.cc/mobile/ #uki #ukiapp #viral #fyp"
#############,https://vt.tiktok.com/ZSJxWUdVo/,Salah pemikiran #uki #ukiapp
#############,https://vt.tiktok.com/ZSJxwT1XJ/,hari gini kamu msii gkk punya pasangan kasian yaa mknyaa kamu download UKI dan temukan tipe ideal kamu#UKIapp #uki #fypシ #fyp
#############,https://vt.tiktok.com/ZSJxwrkMb/,Download aplikasi uki sekarang #ukidownloadapp #uki #ukiapp
#############,https://vt.tiktok.com/ZSJxwokT2/,Yey akhirnya diiizinin juga #uki #ukiapp
#############,https://vt.tiktok.com/ZSJxwN7FX/,Sepupuku galau berat gegara pengen punya pacar tapi ortu melarang keras. Kusaranin aja buat download UKI APPS #uki #ukiapp #fyp 
#############,https://vt.tiktok.com/ZSJxwdKEd/,"sepupuku cari jodoh di uki, yu download UKI , Mana tau kalian berjodoh disana #uki #ukiapp #fyp #fypシ"
#############,https://vt.tiktok.com/ZSJxwdGKU/,Saran untuk sepupu!! 
#############,https://vt.tiktok.com/ZSJxwckC6/,"Jatuh cinta itu unik bisa darimanapun, kalian cobain deh di https://uki.booyah.cc/mobile/ #uki #ukiapp #virap #fyp #cinta"
#############,https://vt.tiktok.com/ZSJxwc3E5/,Cerita pendek. Yuk download uki temukan banyak teman disana #uki #ukiapp
#############,https://vt.tiktok.com/ZSJxWbVdb/,Jadi tau #uki #ukiapp
#############,https://vt.tiktok.com/ZSJxvAFYw/,Coba terka apa akhir kisah cinta Lisa #uki#ukiapp#ukiappdownload#
#############,https://vt.tiktok.com/ZSJxTtpcF/,Akhirnya dapet restu!! Download uki mari bertemu disana
#############,https://vt.tiktok.com/ZSJxTgTeo/,Pengen punya pasangan ideal? Download UKI sekarang juga dan temukan pasanganmu di sana #uki #ukidownloadapp
#############,https://vt.tiktok.com/ZSJxtFu1y/,Dilarang Keluarga berjumpa dengan lelaki itu#uki #ukiapp
#############,https://vt.tiktok.com/ZSJxTEhkY/,Download Aplikasi UKI
#############,https://vt.tiktok.com/ZSJxte8Wf/,jangan lupa download uki sekarang#ukiapp#uki#fyp
#############,https://vt.tiktok.com/ZSJxtd9ay/,jangan lupa download uki sekarang #ukiapp#uki#fyp#ukiappdonwlod#fypdong
#############,https://vt.tiktok.com/ZSJxTBSYf/,Akhirnya ortu memberi restu dan luluh! Thank God! Seneng bgt! Jangan lupa ya download UKI APPS sekarang juga ya! #uki #ukiapp #fyp.
#############,https://vt.tiktok.com/ZSJxT8xKY/,"terimakasih ayah, sudah merestui aku. yu download UKI dan temukan jodohmu disana #uki #ukiapp #fyp #fypシ"
#############,https://vt.tiktok.com/ZSJxT7seG/,Kisah cinta di aplikasi uki #ukidownloadapp #uki #ukiapp
#############,https://vt.tiktok.com/ZSJxsxYs5/,Download UKI dan temukan teman disana ya guys http://uki.booyah.cc/mobile/ #uki #ukiapp
#############,https://vt.tiktok.com/ZSJxqoDbD/,Buruan download aplikasi UKI guys! https://uki.booyah.cc/mobile/ #uki #ukiapp
#############,https://vt.tiktok.com/ZSJxpsdC5/,Akhirnya direstui cintanya.. download aplikasi uki dan bertemu aku disana! #ukiapp #uki
#############,https://vt.tiktok.com/ZSJxp2cKH/,Akhirnya direstui juga . yuk download aplikasi UKI sekarang #UKI  #ukidowloadapp   #ukiapp
#############,https://vt.tiktok.com/ZSJxoxXGt/,Pengen punya pasangan? Download UKI sekarang #uki #ukiapp #ukiappdownload
#############,https://vt.tiktok.com/ZSJxox6gs/,mau dapet temen kencan? yuk dowload uki dan temukan banyak orang #uki #ukiapp
#############,https://vt.tiktok.com/ZSJxoukP1/,"Akhirnya direstuin, yuk unduh aplikasi UKI #uki #ukiapp #ukiappdownload"
#############,https://vt.tiktok.com/ZSJxoqTAb/,Download aplikasi uki dan temukan pasangan kalian disana!
#############,https://vt.tiktok.com/ZSJxopoGH/,Jangan lupa download uki ya guys kali aja jodoh kalian disana #uki #UKIapp
#############,https://vt.tiktok.com/ZSJxop7Q1/,Tuh gaes sepupuku aja kepo dan pengen dapet pasangan di Uki yuk kalian juga jangan lupa download Uki yah dan temukan aku disana #Uki #Ukiapp 
#############,https://vt.tiktok.com/ZSJxoP6HQ/,Yuk donwload aplikasi UKI skrng dan temukan teman baru disana.. #uki #ukiapp
#############,https://vt.tiktok.com/ZSJxoNCoT/,download UKI dan temukan pasangan dan teman ngobrol di sana#ukiaap #uki
#############,https://vt.tiktok.com/ZSJxojGV3/,siapa nih yg belum unduh aplikasi UKI ? yuk download aplikasi UKI sekarang dan mari bertemu disana   #uki #ukiapp #ukidownloadapp
#############,https://vt.tiktok.com/ZSJxodjDJ/,Akhirnya kedua orang tuaku mengintrogasi dan menyetujui hubungan kami #uki #ukiapp
#############,https://vt.tiktok.com/ZSJxo9RNA/,"Yey akhir nya disetujuin juga sama orang tua tuhkan gaes kalau cari2 laki2 hrs yg serius yah, download Uki supaya bsa temukan jodoh #Uki #Ukiapp"
#############,https://vt.tiktok.com/ZSJxKxa3E/,#uki #ukiapp akhirnya di tanya ini itu deh ... untung psanganya ketemu di uki..jd gk ngecewain
#############,https://vt.tiktok.com/ZSJxKwhFJ/,Download uki temukan aku di sana #uki #ukiapp
#############,https://vt.tiktok.com/ZSJxKRuLd/,Para jomblo tak perlu risau tak perlu bimbang download uki buruan. #uki #ukiapp #ukidownload #jomblo
