DATE (Month/Day/Year),USERNAME Tik-Tok (@username) ,FOLLOWERS (.K) ,link video,DESCRIPTION ,"PV
(20210613 18.30pm)",PRICE,REMARK
06/12/2021,@syarifah.ulfa,9878,https://vt.tiktok.com/ZSJxKR1Jm/,Download UKI sekarang! https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/12/2021,@laurenkuin ,10.7k,https://vm.tiktok.com/ZMdLt3h7q/,Positive energy to attracted your mate! Download UKI App now & find favorite mate https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/12/2021,@deborahsyella ,640,https://vt.tiktok.com/ZSJxTTknd/,"Tips lagi nih dari aku,langsung simak dan Download UKI sekarang ya https://uki.booyah.cc/mobile/ #uki #ukiapp",,,
06/12/2021,@adarasa.com,487,https://vt.tiktok.com/ZSJQNLxff/,download UKI now and find someone love you 💕 https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/12/2021,@wirafitamaatmaj,2463,https://vt.tiktok.com/ZSJxwUP7K/,"Yok.. download UKI sekarang!
https://uki.booyah.cc/mobile/#uki #ukiapp",,,
06/12/2021,@yaniinach ,2371,https://vt.tiktok.com/ZSJxoKK3H/,"cari banyak temen yuk di uki...
https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #tipsandtrick #relationship #fypシ",,,
06/12/2021,@memelahap,92.9k,https://vt.tiktok.com/ZSJQdxLhQ/,Tips Menghilangkan Aura Negative. Ingin Tips Lainnya Dari Aku? download Uki Dan Temui Aku Disana #uki #ukiapp https://uki.booyah.cc/mobile/,,,
06/12/2021,@watirahma021_,150,https://vt.tiktok.com/ZSJQdPQhs/,"Ada tips lagi nih dan jangan lupa download UKI yah  https://uki.booyah.cc/mobile/
#ukiapp #uki",,,
06/12/2021,@kepodehh29,45,https://vt.tiktok.com/ZSJQRgmCr/,Menarik perhatian.Yuk download  UKI https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #fypgakni,,,
06/12/2021,@mputrimeput,1454,https://vt.tiktok.com/ZSJxw8SDL/,Download UKI sekarang! https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/12/2021,@sitifatimahofficial29,124.4k,https://vt.tiktok.com/ZSJQdda4u/,"tidak dizinkan pacaran  !! Kalau belum cobain aja langsung download, dijamin seruuu💜 https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp",,,
06/12/2021,@tiusicaagnes,474,https://vt.tiktok.com/ZSJx3a7tN/,download app UKI and we meet again https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/12/2021,@freaklines27 ,22.0k,https://vt.tiktok.com/ZSJxom38J/,Don't know where to get a boyfriend? Download Uki to find your partner https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/12/2021,@dindale7,238,https://vt.tiktok.com/ZSJQRu5oF/,"aku udah download UKI, kamu kapan? https://uki.booyah.cc/mobile/ #uki #ukiapp",,,
06/12/2021,@yudiharians1,16.5k,https://vt.tiktok.com/ZSJxowJnG/,"nih aku lagi berbagi tips, semoga bermanfaat ya , jangan lupa download UKI https://uki.booyah.cc/mobile/ #uki #ukiapp",,,
06/12/2021,@yurayurari10,420,https://vt.tiktok.com/ZSJQe5WfK/,Yuk cari pacar di #uki #ukiapp dan stop melakukan hal² tsb saat kencan~ https://uki.booyah.cc/mobile/,,,
06/12/2021,@kennie92,42.1k,https://vt.tiktok.com/ZSJQdNf1H/,Bagaimana memiliki energi yang menarik saat berkencan https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/12/2021,@syarifah.ulfa,9878,https://vt.tiktok.com/ZSJxEHMhp/,Download UKI sekarang! https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/12/2021,@laurenkuin ,10.7k,https://vm.tiktok.com/ZMdLtsBoY/,Where you can find someone? Download UKI App now https://uki.booyah.cc/mobile/ #uki #ukiapp ,,,
06/12/2021,@deborahsyella ,640,https://vt.tiktok.com/ZSJxwHbYC/,"Nih aku kasih tips lagi,langsung tonton dan Download UKI ya https://uki.booyah.cc/mobile/ #uki #ukiapp",,,
06/12/2021,@adarasa.com,487,https://vt.tiktok.com/ZSJQLTSJf/,download UKI and you will find many others people there ✨ https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/12/2021,@wirafitamaatmaj,2463,https://vt.tiktok.com/ZSJxwPG5x/,"Yok.. download UKI sekarang!
https://uki.booyah.cc/mobile/#uki #ukiapp",,,
06/12/2021,@yaniinach ,2371,https://vt.tiktok.com/ZSJQ1eQHG/,"ayo download uki...
https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #tipsandtrick #relationship #fypシ",,,
06/12/2021,@memelahap,92.9k,https://vt.tiktok.com/ZSJQRUSrY/,Tanda Bahasa Tubuh Seseorang Yang Menyukai Anda. Ingin Tanda Lainnya? download uki Sekarang juga. #uki #ukiapp https://uki.booyah.cc/mobile/,,,
06/12/2021,@watirahma021_,150,https://vt.tiktok.com/ZSJQdcGL4/,"Ayo download Uki dan temukan pasanganmu sekarang
https://uki.booyah.cc/mobile/
#uki #ukiapp",,,
06/12/2021,@kepodehh29,45,https://vt.tiktok.com/ZSJQRupBo/,"Cara mengetahui bahasa tubuh! Unduh UKI
 https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #fypgakni",,,
06/12/2021,@mputrimeput,1454,https://vt.tiktok.com/ZSJxTvyxy/,Download UKI sekarang! https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/12/2021,@sitifatimahofficial29,124.4k,https://vt.tiktok.com/ZSJQdjMrK/,"Tips menarik kencan !! Kalau belum cobain aja langsung download, dijamin seruuu💜 https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp",,,
06/12/2021,@tiusicaagnes,474,https://vt.tiktok.com/ZSJx3GKxq/,download app UKI and we meet again https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/12/2021,@freaklines27 ,22.0k,https://vt.tiktok.com/ZSJQ1RcFB/,You dont know where to get a partner? Download Uki to find your partner https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/12/2021,@dindale7,238,https://vt.tiktok.com/ZSJQRXhsA/,Download UKI dong buat gunain tips-tips ini ✌🏻 https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/12/2021,@yudiharians1,16.5k,https://vt.tiktok.com/ZSJQ1yMpW/,Yok ikuti aku download UKI https://uki.booyah.cc/mobile/ #uki #ukiapp kamu akan menemukan banyak teman disana,,,
06/12/2021,@yurayurari10,420,https://vt.tiktok.com/ZSJQdA8X7/,Nah ini tanda² mereka beneran tertarik sama kalian! Mau check ga ada pasangannya? Yuk cari aja di #Uki #Ukiapp !! https://uki.booyah.cc/mobile/,,,
06/12/2021,@kennie92,42.1k,https://vt.tiktok.com/ZSJQRt74o/,Menunjukkan bahasa tubuh untuk tertarik pada pasangan anda https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
