DATE (Month/Day/Year),USERNAME Tik-Tok (@username) ,FOLLOWERS (.K) ,link video,DESCRIPTION ,"PV
(20210611 18.30 pm)",PRICE,REMARK
06/11/2021,@syarifah.ulfa,9574,https://vt.tiktok.com/ZSJxAC6aS/,Download UKI sekarang! https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/11/2021,@laurenkuin ,10.7k,https://vm.tiktok.com/ZMdd3RpFe/,"Heyo girls, i have tips! Download UKI App now & find your mate https://uki.booyah.cc/mobile/ #uki #ukiapp",,,
06/11/2021,@dinantinanda ,2445,https://vt.tiktok.com/ZSJx5eUGn/,"Tips para perempuan ketika kencan pertama, ayo download UKI sekarang juga https://uki.booyah.cc/mobile/ #uki #ukiapp",,,
06/11/2021,@adarasa.com,487,https://vt.tiktok.com/ZSJx9m9dS/,let's go to download UKI and use this flirting on your partner 💕 https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/11/2021,@wirafitamaatmaj,2463,https://vt.tiktok.com/ZSJxy3P76/,"Yok.. download UKI sekarang!
https://uki.booyah.cc/mobile/#uki #ukiapp",,,
06/11/2021,@nhikmahmnaim,1977,https://vt.tiktok.com/ZSJxaWKyN/,lagi suka sama cowo? simak videonya. jangan lupa download aplikasi uki sekarang 🙌🏻 https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #fypdong,,,
06/11/2021,@yaniinach ,2371,https://vt.tiktok.com/ZSJxUdN1P/,cari gebetan kamu di uki.. https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #tips #relationship #fypシ,,,
06/11/2021,@memelahap,92.9k,https://vt.tiktok.com/ZSJxAo69S/,Tips Agar Dia Menyukai anda. Ingin Tahu Tips Lainnya? download uki Sekarang Dan Temui Aku Disana #uki #ukiapp https://uki.booyah.cc/mobile/,,,
06/11/2021,@sindukinanti93,25,https://vt.tiktok.com/ZSJxaokHW/,"download buruan
https://uki.booyah.cc/mobile/
#uki #ukiapp",,,
06/11/2021,@watirahma021_,150,https://vt.tiktok.com/ZSJxmMVxA/,"Ini tips untuk para wanita, download uki ya .. https://uki.booyah.cc/mobile/
#ukiapp #uki",,,
06/11/2021,@kepodehh29,45,https://vt.tiktok.com/ZSJx58KUU/,Tips menggoda dia.Yuk download  UKI https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #fypgakni,,,
06/11/2021,@mputrimeput,1454,https://vt.tiktok.com/ZSJxD23mH/,Download UKI sekarang! https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/11/2021,@triagustinnurrullita,70.8k,https://vt.tiktok.com/ZSJxmxVP8/,"tau aplikasi UKI belum? Kalau belum cobain aja langsung download, dijamin seruuu💜 https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp",,,
06/11/2021,@tiusicaagnes,469,https://vt.tiktok.com/ZSJxAMExD/,download app UKI and we meet again https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/11/2021,@rakaylst,4611,https://vt.tiktok.com/ZSJxPNMhD/,Sharing tentang cinta yuk bersama aku lewat UKI https://uki.booyah.cc/mobile/ #Uki #Ukiapp #FYP,,,
06/11/2021,@freaklines27 ,22.0k,https://vt.tiktok.com/ZSJxy1YEw/,Try this tips on your couple. Download Uki to find your partner https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/11/2021,@dindale7,238,https://vt.tiktok.com/ZSJx5sJKV/,Jangan lupa cobain tipsnya yaa kalo udah download UKI https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/11/2021,@yudiharians1,16.5k,https://vt.tiktok.com/ZSJxa4geR/,jangan lupa download aplikasi UKI ya https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/11/2021,@yurayurari10,420,https://vt.tiktok.com/ZSJx582mT/,"Nah ini guys tips biar bikin cowo deg²an! Tp harus punya cowonya dulu dong, yg belom cari aja di #Uki #Ukiapp ! https://uki.booyah.cc/mobile/",,,
06/11/2021,@kennie92,42.1k,https://vt.tiktok.com/ZSJxPq2EY/,Tips untuk para wanita https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/11/2021,@syarifah.ulfa,9574,https://vt.tiktok.com/ZSJxUJHgV/,Download UKI sekarang! https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/11/2021,@laurenkuin ,10.7k,https://vm.tiktok.com/ZMdd3Ro8s/,"Subtle flirting here guys, check it out! Download UKI App now & find your mate 🤗 https://uki.booyah.cc/mobile/ #uki #ukiapp",,,
06/11/2021,@deborahsyella ,591,https://vt.tiktok.com/ZSJxkU7sv/,Nih tips lagi buat kaliann 🤫 langsung kepoin dan langsung download UKI ya https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/11/2021,@dinantinanda ,2445,https://vt.tiktok.com/ZSJxPXRq8/,"Kalian tau bagaimana cara buat pasangan kalian tergoda? Ini caranya, ayo download UKI sekarang juga https://uki.booyah.cc/mobile/ #uki #ukiapp",,,
06/11/2021,@adarasa.com,487,https://vt.tiktok.com/ZSJx9HjY5/,download UKI and find your answers there ✨ https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/11/2021,@wirafitamaatmaj,2463,https://vt.tiktok.com/ZSJxfYqmJ/,"Yok.. download UKI sekarang!
https://uki.booyah.cc/mobile/#uki #ukiapp",,,
06/11/2021,@yaniinach ,2371,https://vt.tiktok.com/ZSJxykqha/,"cari orang yang kamu sukai di uki..
https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #tips #relationship #fypシ",,,
06/11/2021,@memelahap,92.9k,https://vt.tiktok.com/ZSJxDkTXG/,Tips Berbicara kepada Orang Yang anda Sukai. Ingin Tips Lain dari Aku? download Uki Dan Temui Aku Disana #uki #ukiapp https://uki.booyah.cc/mobile/,,,
06/11/2021,@sindukinanti93,25,https://vt.tiktok.com/ZSJxmrE5m/,"download buruan
https://uki.booyah.cc/mobile/
#uki #ukiapp",,,
06/11/2021,@watirahma021_,150,https://vt.tiktok.com/ZSJxmdtdX/,"Tips berbicara yg bagus, ayok download uki
https://uki.booyah.cc/mobile/
#uki #ukiapp",,,
06/11/2021,@kepodehh29,45,https://vt.tiktok.com/ZSJx56hCn/,"Cara berbicara pada gebetan! Unduh UKI
https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #fypgakni",,,
