DATE (Month/Day/Year),USERNAME Tik-Tok (@username) ,FOLLOWERS (.K) ,link video,DESCRIPTION ,"PV
(20210612 18.30pm)",PRICE,REMARK
06/11/2021,@syarifah.ulfa,9685,https://vt.tiktok.com/ZSJxXKjAM/,Download UKI sekarang! https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/11/2021,@laurenkuin ,10.7k,https://vm.tiktok.com/ZMd8AhS96/,Flirting tips! So what are you waiting for? Download UKI App https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/11/2021,@deborahsyella ,640,https://vt.tiktok.com/ZSJxQgA7j/,"Nih tips lagi nih,yuk langsung kepoin dan Download UKI sekarang ya https://uki.booyah.cc/mobile/ #uki #ukiapp",,,
06/11/2021,@dinantinanda ,2445,https://vt.tiktok.com/ZSJxtrQt7/,Tips buat orang yang menanyakan kabarmu! ayo download UKI sekarang juga https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/11/2021,@adarasa.com,487,https://vt.tiktok.com/ZSJx7Gtg6/,"hello girls, don't forget to download UKI and find your partner there 🌻 https://uki.booyah.cc/mobile/ #uki #ukiapp",,,
06/11/2021,@wirafitamaatmaj,2463,https://vt.tiktok.com/ZSJxgf1bd/,"Yok.. download UKI sekarang!
https://uki.booyah.cc/mobile/#uki #ukiapp",,,
06/11/2021,@yaniinach ,2371,https://vt.tiktok.com/ZSJx4Lfuq/,ayo cari soulmate kamu di uki.. https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #tipsandtrick #relationship #fypシ ,,,
06/11/2021,@memelahap,92.9k,https://vt.tiktok.com/ZSJxggPNa/,ips Jika Dia Bertanya Apa Kabar. Ingin Tips Lainnya Dari Aku? Yuk Temui Aku di Uki. Download Uki Ya. #uki #ukiapp https://uki.booyah.cc/mobile/,,,
06/11/2021,@sindukinanti93,25,https://vt.tiktok.com/ZSJxGTnKb/,yuk download https://uki.booyah.cc/mobile/#uki #ukiapp,,,
06/11/2021,@watirahma021_,150,https://vt.tiktok.com/ZSJxsM2yJ/,"Tips penting tonton sampai akhir, & download UKI https://uki.booyah.cc/mobile/
#ukiapp #uki",,,
06/11/2021,@kepodehh29,45,https://vt.tiktok.com/ZSJxtub79/,Arti apa kabar.Yuk download  UKI https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #fypgakni,,,
06/11/2021,@mputrimeput,1454,https://vt.tiktok.com/ZSJx4fMJL/,Download UKI sekarang! https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
