Timestamp,link video,Caption video
6/9/2021 0:00:00,https://vt.tiktok.com/ZSJxe7FE8/,Jangan lupa download uki #ukidownloadapp #uki #ukiapp
#############,https://vt.tiktok.com/ZSJx29RWS/,Jangan lupa download UKI guys! https://uki.booyah.cc/mobile/ #uki #ukiapp
#############,https://vt.tiktok.com/ZSJx29dJC/,Jangan sampe lupa guys download UKI ya! https://uki.booyah.cc/mobile/ #uki #ukiapp
#############,https://vt.tiktok.com/ZSJxFqgPp/,kamu ingin menemukan cintamu yang manis hingga kamu lupa makan. downdload aplikasi uki sekrang dan temukan cintamu yg manis #uki #ukiapp
#############,https://vt.tiktok.com/ZSJxRXRKp/,Kalian pernah gini gak? #uki #ukiapp
#############,https://vt.tiktok.com/ZSJx2yqRc/,"yuk ketemu hal-hal seru di UKI, yuk buruan download. #uki #ukiapp #ukidownloadapp   "
#############,https://vt.tiktok.com/ZSJxYJwy7/,FOKUS CHATTINGAN PAKE UKI MALAH DIMARAHIN ORANG TUA
#############,https://vt.tiktok.com/ZSJxFTynv/,DILARANG KELUAR RUMAH OLEH ORANG TUA
#############,https://vt.tiktok.com/ZSJxNP1nF/,Curhat ternyaman bareng kenalan UKI #uki #ukiapp
#############,https://vt.tiktok.com/ZSJxFSqAL/,setelah lama chatting di UKI rasa pingin jumpa pun hadir #uki #ukiapp
#############,https://vt.tiktok.com/ZSJxYJsL2/,punya pacar !! download uki link di bio ya https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #pilihan
#############,https://vt.tiktok.com/ZSJxY89JD/,mau ketemu kamu !! download uki link di bio ya https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #pilihan
#############,https://vt.tiktok.com/ZSJx2Yppm/,"Temukan dia yg slama ini kamu cari, download aplikasi UKI sekarang https://uki.booyah.cc/mobile/ #uki #ukiapp"
#############,https://vt.tiktok.com/ZSJx2rgqD/,"Asiknya sampe lupa makan, download aplikasi UKI sekarang https://uki.booyah.cc/mobile/ #uki #ukiapp"
#############,https://vt.tiktok.com/ZSJx2xC1T/,"#uki #ukiapp seneng bgt akhirnya bisa ketemuan ama doi yg selama ini chat di uki,,, jgn lupa download uki"
#############,https://vt.tiktok.com/ZSJx2by1u/,#uki #ukiapp  orang tua protektif? Tenang kan ada uki ... bisa deket sama dia lewat hp kamu
#############,https://vt.tiktok.com/ZSJxFo5HC/,"Abis kena omel dan ortu dijelasin sejelas jelasnya, akhirnya diizinin pergi guys! Jangan lupa download UKI APPS sekarang juga ya! #uki #ukiapp #fyp "
#############,https://vt.tiktok.com/ZSJxFMjNv/,"Gegara asyik chatting sama temen di UKI, auto diomelin ortu deh. Yuk download UKI APPS sekarang juga ya! #uki #ukiapp #fyp #foryourpage "
#############,https://vt.tiktok.com/ZSJxeX2Uf/,kencan yuk #uki #ukiapp #ukiapps
#############,https://vt.tiktok.com/ZSJxenrq6/,kencan terlarang. yuk download uki #uki #ukiapp #ukiapps
#############,https://vt.tiktok.com/ZSJx8s2Ly/,"Wah, teknik baru untuk keluar rumah nih. #uki #ukiapp #capcut #BounceBackID "
#############,https://vt.tiktok.com/ZSJ9ooAwp/,Jangan terlalu fokus ntar ketahuan klo backstreet wkwkwkw. #uki #ukiapp #xyzbca #capcut
