username,followers,link video,desc,views,remark
@dendyanugrahw,1131,https://vt.tiktok.com/ZSJHSQeox/,Yuk download UKI sekarang https://uki.booyah.cc/mobile/ #UKI #UKIAPP #fyp,247,
hunixmaniz,1320,https://vt.tiktok.com/ZSJHwvH2U/,"Tidak tahu di mana menemukan kekasih untuk Anda. Download Uki, temukan pasangan anda sendiri😊 Link di Bio https://uki.booyah.cc/mobile/ #uki #ukiapp ",1189,
Davius_,2591,https://vt.tiktok.com/ZSJHws2n7/,Download Uki aja bang buat nyari temen yang banyak! Cepat download aplikasi Uki dan temukan aku disana 😁 https://uki.booyah.cc/mobile/ #UKI #UKIAPP ,309,
Cibiiiiii,156,https://vt.tiktok.com/ZSJHKMbxh/,Kalian jomblo? Yuk download uki di hp kalian bisa lewat link ini lo https://uki.booyah.cc/mobile/ #uki ukiapp,212,
Asikasikbun ,296,https://vt.tiktok.com/ZSJHKr3Bx/,Ayok download UKI https://uki.booyah.cc/mobile/ #UKI #UKIAAP,562,
Syoniaanggraina.10,162,https://vt.tiktok.com/ZSJHK5rdq/,Udah pada unduh aplikasi UKI belum!!!! https://uki.booyah.cc/mobile/,606,
akudankamu1_0,10,https://vt.tiktok.com/ZSJHK8Kjg/,Download UKI di link ini https://uki.booyah.cc/mobile/ #ukiapp #uki,250,
@agnesrsdnmt,633,https://vt.tiktok.com/ZSJHKcM9q/,"terngiang"" ni sound nya yuk lah main uki https://uki.booyah.cc/mobile/",610,
Cindiafiraaa,230,https://vt.tiktok.com/ZSJHKbGwJ/,Yuk isi waktu gabutmu dengan download UKI sekarang! Dijamin deh gabutnya ilang 😉 #UKI#UKIAPP https://uki.booyah.cc/mobile/,242,
clarenciaaurelia_ ,132,https://vt.tiktok.com/ZSJHTbmRy/,Seneng gasi punya temen dari #UKI #UKIAPP yang rumahnya deket dan bisa ngonten bareng gini? yuk download #UKI sekarang juga,547,
Vanvaniaa,570,https://vt.tiktok.com/ZSJHKEAGe/,mau dong di senggol wkwk. Yuk download aplikasi UKI : https://uki.booyah.cc/mobile/ #uki #ukiapp #duet #fyp #AtomeKittens #NyanyiWithPinkSweats,456,
@wanitabutuhkasihsayang,2823,https://vt.tiktok.com/ZSJHKVugE/,Tunggu apalagi ayo segera download aplikasi UKI di hp kalian dan temukan jodohmu😘,247,
Widya_iyaa,122,https://vt.tiktok.com/ZSJHKQaFB/,penasaran sama aku yok download apk UKI app store kalian atau bisa di https://uki.booyah.cc/mobile/ #UKI #UKIAPP,237,
@miqordi,142,https://vt.tiktok.com/ZSJHKXhee/,"Halo guys, download App UKI yuk seru banget https://uki.booyah.cc/mobile/ #UKI #UKIAPP",393,
@ivan_avreza,7624,https://vt.tiktok.com/ZSJHKt7gt/,"Yuk download Uki, temukan banyak teman baru disana ! https://uki.booyah.cc/mobile/",270,
xxrgakim__,835:09:00,https://vt.tiktok.com/ZSJHKnM2c/,"Chat sm aku yuk, download UKI sekarang~","265,500",
nabeee_la,96,https://vt.tiktok.com/ZSJHEf4gK/,"Unduh aplikasi uki, klik aja ya linknya di bio aku 👌😊 https://uki.booyah.cc/mobile #uki #ukiapp",273,
rianrifan1,85600,https://vt.tiktok.com/ZSJHEjan3/,"pencuri celana guys, hati hati 😭, vidio by @brokenvideos07 download UKI https://uki.booyah.cc/mobile/ #fyp #UKI #UKIAPP",2315,
Wahyusaputra_22,4629,https://vt.tiktok.com/ZSJHE8Kj9/,#uki #ukiapp ayok semuanya buruan download UKI https://uki.booyah.cc/mobile/#NyanyiWithPinkSweats,378,
Esterzebua_05,3774,https://vt.tiktok.com/ZSJHE14aj/,"#uki #ukiapp tidak tahu dimana kamu menemukan pasangan mu, ayok download UKI https://uki.booyah.cc/mobile/#NyanyiWithPinkSweats",449,
mrth.bnd,153,https://vt.tiktok.com/ZSJHEgPCf/,yuk download aplikasi UKI sekarang juga! 🙌 https://uki.booyah.cc/mobile/ #UKI #UKIAPP,1094,
jereacholagi,2,https://vt.tiktok.com/ZSJHEpAev/,Yuk download Uki App dan temukan pasangan kalian disana! https://uki.booyah.cc/mobile/ #Uki #UkiApp ,219,
@alfunoona,98,https://vt.tiktok.com/ZSJHEQRRo/,Bingung mau cari pasangan? Yuk download Apk UKI di AppStore atau PlayStore dan cari pasangan mu sekarang! https://uki.booyah.cc/mobile/ #UKI #UKIAPP #fyp,316,
@nadayolan10,1282,https://vt.tiktok.com/ZSJHoAb11/,Yuk download app nya UKI temukan kan aku & jodoh mu di sanaa 😗 Link https://uki.booyah.cc/mobile/ #Uki #ukiapp,295,
leo_sajo,63233,https://vt.tiktok.com/ZSJHoPj9t/,hi ayok download UKI dan temukan pasanganmu disana https://uki.booyah.cc/mobile/,275,
billecute,8004,https://vt.tiktok.com/ZSJHo4CVN/,jangan lupa download aplikasi UKI biar bisa temenan sama aku hihi!! https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp,228,
juwandasinaga,187,https://vt.tiktok.com/ZSJ91MxqQ/,Temukan keluarga barumu. Download UKI dan temukan aku di sana,229,
@faizal_ofc,58,https://vt.tiktok.com/ZSJHoE5a1/,"Seru""an bareng aku di #UKI #UKIAPP yuk download https://uki.booyah.cc/mobile/",1023,
@ulnique,110,https://vt.tiktok.com/ZSJHo3yXh/,"Jangan lupa download Aplikasi UKI,Temukan banyak teman disana,bisa jd jodoh kamu loh 😍 LINK DOWNLOAD ⬇️ https://uki.booyah.cc/mobile/ #UKI #UKIAPP",235,
Najiyahshbryh,1366,https://vt.tiktok.com/ZSJ9YkQac/,Masa iya gamau download🤪 yuk temukan aku disana!!,419,
Richifenus,357,https://vt.tiktok.com/ZSJ92nnTX/,AYO BURUAN NIH DOWNLOAD #UKI #UKIAPP https://uki.booyah.cc/mobile/,1136,
Oreodoyan,389,https://vt.tiktok.com/ZSJ9MSCBx/,Yuk download aplikasi #UKI Sekarang dan temukan aku disana #UKIAPP https://uki.booyah.cc/mobile/,515,
Itsnaulqi,233,https://vt.tiktok.com/ZSJ9MyTDd/,Ayo download UKI,557,
apasikenapasayang,185,https://vt.tiktok.com/ZSJ9MKt6b/,GAS DOWNLOAD UKI SKARANG!!,515,
@hanarizkyanaputri,1984,https://vt.tiktok.com/ZSJHgXDn9/,Tips aman dari aku nih biar aman download apk uki yukk,296,
Dimasandi.14,792,https://vt.tiktok.com/ZSJHpHyDW/,Download uki sekarang juga https://uki.booyah.cc/mobile/,251,
xwxaxlx ,14200,https://vt.tiktok.com/ZSJHb8NQV/,jangan lupa download uki:https://uki.booyah.cc/mobile/ #UKI #UKIAPP ,61,
Davius_,2591,https://vt.tiktok.com/ZSJHKekmm/,Yuk buruan download aplikasi Uki dan temukan banyak teman baru disana! https://uki.booyah.cc/mobile/ #UKI #UKIAPP ,236,
Najiyahshbryh,1367,https://vt.tiktok.com/ZSJHKDg1B/,Yuk download aplikasi UKI yuk,444,
Syoniaanggraina.10,162,https://vt.tiktok.com/ZSJHKaL9s/,Bagaimana kencanmu sama pasangan online mu di UKI? Yuk download UKI https://uki.booyah.cc/mobile/,288,
Cibiiiiii,156,https://vt.tiktok.com/ZSJHKs83q/,Pengen dapet temen kencan? Buruan downlod uki di link ini https://uki.booyah.cc/mobile/,212,
