username,followers,createTime,videoDesc,videoID,videoLink,nViews,nShare,nLikes,nComment,hashtag
callualittle,175.0,2021-05-18,Jangan lupa download Uki ya guys😉 #Uki #Ukiapp #fypシ #fyp #foryoupage #ramadhan #lucu #komedi #kocak,6963621142535867649,https://www.tiktok.com/@callualittle/video/6963621142535867649?lang=en,290.0,5.0,111.0,95.0,"['uki', 'ukiapp', 'fypシ', 'fyp', 'foryoupage', 'ramadhan', 'lucu', 'komedi', 'kocak']"
lextraordinaryyy,10.0,2021-05-18,ayok cepet download uki sekarang juga!! #uki #ukiapp #fyp #foru #pacar #cemburu #indonesia,6963561369010507009,https://www.tiktok.com/@lextraordinaryyy/video/6963561369010507009?lang=en,116.0,10.0,8.0,0.0,"['uki', 'ukiapp', 'fyp', 'foru', 'pacar', 'cemburu', 'indonesia']"
_zainrf09,7717.0,2021-05-18,"Ceriakan Hari-Hari Kamu Di Uki, Yukk Download Aplikasi Uki Sekarang Juga #uki #ukiapp",6963616140241276162,https://www.tiktok.com/@_zainrf09/video/6963616140241276162?lang=en,101800.0,4.0,578.0,4.0,"['uki', 'ukiapp']"
gitta.athalia,9294.0,2021-05-18,Download aplikasi UKI sekarang yah. Aku tunggu kami disana #uki #ukiapp #fyp #fypシ #foryou #foryoupage #couple,6963626307942927618,https://www.tiktok.com/@gitta.athalia/video/6963626307942927618?lang=en,101300.0,72.0,97.0,0.0,"['uki', 'ukiapp', 'fyp', 'fypシ', 'foryou', 'foryoupage', 'couple']"
ririn_anis,1110.0,2021-05-18,"cepet download aplikasi uki, fix no debat #uki #ukiapp #fyp",6963656154845351169,https://www.tiktok.com/@ririn_anis/video/6963656154845351169?lang=en,1049.0,8.0,5.0,0.0,"['uki', 'ukiapp', 'fyp']"
_eunike40,10.0,2021-05-19,Tunggu apalagi? Yuk langsung download app UKI sekarang! #uki #ukiapp #fyp #couplefight,6963677401914051841,https://www.tiktok.com/@_eunike40/video/6963677401914051841?lang=en,1268.0,0.0,4.0,0.0,"['uki', 'ukiapp', 'fyp', 'couplefight']"
haiakuzahra0,3.0,2021-05-19,aku tunggu di aplikasi#uki 😻 #ukiapp #uki  #downloaduki #eumg #eumanagement @eu_management,6963676616388119810,https://www.tiktok.com/@haiakuzahra0/video/6963676616388119810?lang=en,1077.0,0.0,5.0,0.0,"['uki', 'ukiapp', 'downloaduki', 'eumg', 'eumanagement']"
chocomintsss1234,13.0,2021-05-19,jangan lupa ya untuk download UKI skrg juga!! #uki #ukiapp #fyp #fypシ #foryourpage #fypindonesiaシ #viral,6963687221941505282,https://www.tiktok.com/@chocomintsss1234/video/6963687221941505282?lang=en,209.0,5.0,95.0,85.0,"['uki', 'ukiapp', 'fyp', 'fypシ', 'foryourpage', 'fypindonesiaシ', 'viral']"
hama_youminzhe,5100.0,2021-05-19,Kamu punya kesibukan? atau aktivitas yang perlu diabadikan? Ceritakan hari2 serumu di UKI Aps. Download UKI sekarang juga #uki #aplikasiuki #ukiapp,6963802307318254849,https://www.tiktok.com/@hama_youminzhe/video/6963802307318254849?lang=en,160.0,0.0,10.0,0.0,"['uki', 'aplikasiuki', 'ukiapp']"
ikydicky29,3652.0,2021-05-19,Mau Lihat Cerita Yg Lebih Seru Lagi? Yuk Download UKI Sekarang #uki #ukiapp #ukiapk #fypツ #fypdong #ffffff,6963812542971972866,https://www.tiktok.com/@ikydicky29/video/6963812542971972866?lang=en,134.0,4.0,5.0,0.0,"['uki', 'ukiapp', 'ukiapk', 'fypツ', 'fypdong', 'ffffff']"
miasrti,20600.0,2021-05-19,Mau yang lebih seru lagi? Yuk download Uki Sekarang!!! #uki #ukiapp #fyp #foryoupage,6963825855646780674,https://www.tiktok.com/@miasrti/video/6963825855646780674?lang=en,114200.0,105.0,1452.0,10.0,"['uki', 'ukiapp', 'fyp', 'foryoupage']"
ntthaliax,825.0,2021-05-19,Jangan lupa download app UKI sekarang!! #UKI #UKIAPP #fyp,6963824950998224130,https://www.tiktok.com/@ntthaliax/video/6963824950998224130?lang=en,1273.0,8.0,104.0,83.0,"['uki', 'ukiapp', 'fyp']"
ptrnurahr,40.0,2021-05-19,nyari jodoh ? mending download UKI aja yukk terjamin banyak cogan #uki #ukiapp,6963827719880723713,https://www.tiktok.com/@ptrnurahr/video/6963827719880723713?lang=en,115.0,0.0,8.0,4.0,"['uki', 'ukiapp']"
just.ir.ma,1377.0,2021-05-19,jangan lupa ya download uki..aplikasi tambah kenalan #uki #ukiapp,6963826075273039105,https://www.tiktok.com/@just.ir.ma/video/6963826075273039105?lang=en,102.0,3.0,6.0,0.0,"['uki', 'ukiapp']"
daniapuspatiara,3641.0,2021-05-19,yuk download uki apps beb #uki #ukiapp #CapCut #fypシ #aplikasionline #chattingonline #chat #match,6963835972643556609,https://www.tiktok.com/@daniapuspatiara/video/6963835972643556609?lang=en,871.0,2.0,122.0,0.0,"['uki', 'ukiapp', 'capcut', 'fypシ', 'aplikasionline', 'chattingonline', 'chat', 'match']"
,,,,,,,,,,
,,,,,,,,,,
cherryn1707,1080.0,2021-05-19,"yokk segera download UKI app sekarang juga!! mari kita berteman disana, butuh temen baru nih #uki #ukiapp #ukiappdownload #fyp #foryou",6963994040681385218,https://www.tiktok.com/@cherryn1707/video/6963994040681385218?lang=en,1207.0,8.0,46.0,0.0,"['uki', 'ukiapp', 'ukiappdownload', 'fyp', 'foryou']"
ririn_anis,1110.0,2021-05-19,"segera download UKI app ya, kita ketemu di sana #uki #ukiapp #fyp #foryoupage",6963886542809058562,https://www.tiktok.com/@ririn_anis/video/6963886542809058562?lang=en,1406.0,1.0,133.0,0.0,"['uki', 'ukiapp', 'fyp', 'foryoupage']"
maurelynnm,83.0,2021-05-19,mari download uki apps kita bertemu di uki #uki #ukiapp#fypシ,6963967174926978306,https://www.tiktok.com/@maurelynnm/video/6963967174926978306?lang=en,160.0,0.0,14.0,1.0,"['uki', 'ukiapp', 'fypシ']"
_zainrf09,7717.0,2021-05-19,"Ayoo Download Aplikasi Uki, Sampai Ketemu Disana yaa #Uki #Ukiapp",6963999363404205313,https://www.tiktok.com/@_zainrf09/video/6963999363404205313?lang=en,107100.0,15.0,798.0,28.0,"['uki', 'ukiapp']"
gitta.athalia,9294.0,2021-05-19,Ceriakan harimu dengan download UKI sekarang!!! #uki #ukiapp #fyp #fypシ #foryou #foryoupage #funny #viral #funnyvideos,6964010080815615234,https://www.tiktok.com/@gitta.athalia/video/6964010080815615234?lang=en,101600.0,2.0,91.0,0.0,"['uki', 'ukiapp', 'fyp', 'fypシ', 'foryou', 'foryoupage', 'funny', 'viral', 'funnyvideos']"
