username,followers,createTime,videoDesc,videoID,videoLink,nViews,nShare,nLikes,nComment,hashtag
,,,,,,,,,,
tiara_nd,1382.0,2021-05-19,ada kah yang seperti ini hihi #fypシ #uki #ukiapp,6963845055501143297,https://www.tiktok.com/@tiara_nd/video/6963845055501143297?lang=en,1077.0,2.0,20.0,1.0,"['fypシ', 'uki', 'ukiapp']"
nochee10,735.0,2021-05-19,"Halo Gaes,,, Remember, Download UKI Application right now! And meet me overthere. See yaaa... 🙏😉😍 #uki #ukiapp",6963842958311329025,https://www.tiktok.com/@nochee10/video/6963842958311329025?lang=en,1182.0,1.0,238.0,1.0,"['uki', 'ukiapp']"
kathleenkrissa,1020.0,2021-05-19,"Ada ga yang pacarnya kayak gini? Temukan di Uki Apps, download skrg juga #uki #ukiapp",6963868382970137858,https://www.tiktok.com/@kathleenkrissa/video/6963868382970137858?lang=en,13.0,0.0,3.0,0.0,"['uki', 'ukiapp']"
berryxwz,138.0,2021-05-19,untung aja hehe~ #ukiapp #uki,6963849766971182338,https://www.tiktok.com/@berryxwz/video/6963849766971182338?lang=en,297.0,4.0,187.0,73.0,"['ukiapp', 'uki']"
,,,,,,,,,,
parahitandin,1772.0,2021-05-19,perkara solasi nastar bisa berabe nh😜 #uki #ukiapp,6963882132246646017,https://www.tiktok.com/@parahitandin/video/6963882132246646017?lang=en,1147.0,0.0,111.0,2.0,"['uki', 'ukiapp']"
punyanyamasbaw,2218.0,2021-05-19,ada ngga yang kek aku gini hehehe#uki ##ukiapp #fypシ #xyzbcafypシ #foryou2021 #penginfyp #fypdongsekalisekali,6963882478960528641,https://www.tiktok.com/@punyanyamasbaw/video/6963882478960528641?lang=en,149.0,0.0,15.0,0.0,"['uki', 'ukiapp', 'fypシ', 'xyzbcafypシ', 'foryou2021', 'penginfyp', 'fypdongsekalisekali']"
ighfirxx,1483.0,2021-05-19,pasti punya temen yg gajelas dan konyol kaya dia kan? • yuk cepetan download uki #Uki #Ukiapp,6963979954526670082,https://www.tiktok.com/@ighfirxx/video/6963979954526670082?lang=en,1507.0,5.0,194.0,64.0,"['uki', 'ukiapp']"
,,,,,,,,,,
