username,followers,createTime,videoDesc,videoID,videoLink,nViews,nShare,nLikes,nComment,hashtag
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
rayhannnn_raka,100800.0,2021-05-19,Temukan temen kalian di UKI Download Aplikasi UKI skrng juga #uki #ukiapp #ukiappdownload,6963815184104213761,https://www.tiktok.com/@rayhannnn_raka/video/6963815184104213761?lang=en,1764.0,2.0,378.0,7.0,"['uki', 'ukiapp', 'ukiappdownload']"
,,,,,,,,,,
serayaworld,18700.0,2021-05-19,Yuk download aplikasi #uki Sampai jumpa di sana ya #ukiapp,6963834315020995841,https://www.tiktok.com/@serayaworld/video/6963834315020995841?lang=en,3824.0,0.0,22.0,0.0,"['uki', 'ukiapp']"
,,,,,,,,,,
geraldinebrigita,34900.0,2021-05-19,"Bu Tuti beli kelapa, belinya dipabuaran. Halu itu GAPAPA, tp lbh baik pny jodoh beneran 😌 KETEMU SAMA AKU DI UKI YUK! #uki #ukiapp #fyp #foryoupage",6963834825241398529,https://www.tiktok.com/@geraldinebrigita/video/6963834825241398529?lang=en,1165.0,8.0,358.0,11.0,"['uki', 'ukiapp', 'fyp', 'foryoupage']"
natalialimzzz,18.0,2021-05-19,ayo download uki app biar kamu bisa dapetin tipe yang kamu mau ! #uki #ukiapp,6963833646897728769,https://www.tiktok.com/@natalialimzzz/video/6963833646897728769?lang=en,10300.0,0.0,4.0,0.0,"['uki', 'ukiapp']"
ziahhh94,2417.0,2021-05-19,lupakan pacar posesif dengan download aplikasi uki #Uki #Ukiapp,6963838154969206017,https://www.tiktok.com/@ziahhh94/video/6963838154969206017?lang=en,167.0,3.0,115.0,0.0,"['uki', 'ukiapp']"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
