username,followers,createTime,videoDesc,videoID,videoLink,nViews,nShare,nLikes,nComment,hashtag
aqindra_aja,69600.0,2021-05-17,indahnya berbagi dan kebersamaan #uki #ukiapp #indraprastajaya #lestykejora #rizkybillar,6963233300605308162,https://www.tiktok.com/@aqindra_aja/video/6963233300605308162?lang=en,2017.0,0.0,73.0,16.0,"['uki', 'ukiapp', 'indraprastajaya', 'lestykejora', 'rizkybillar']"
noiscawinasonya,16700.0,2021-05-17,aku kembar 4 gaess.. https://uki.booyah.cc/mobile/,6963204898188053761,https://www.tiktok.com/@noiscawinasonya/video/6963204898188053761?lang=en,1050.0,0.0,1.0,1.0,
yougirlsmart,22900.0,2021-05-17,Jangan lupa berbagi kebaikan kpd org lain🥰 #https://uki.booyah.cc/mobile/ #uki #ukiapp #cerpenhidup #fyp,6963202382306086146,https://www.tiktok.com/@yougirlsmart/video/6963202382306086146?lang=en,41300.0,1.0,354.0,11.0,"['https', 'uki', 'ukiapp', 'cerpenhidup', 'fyp']"
novifatma30,48800.0,2021-05-17,"Jangan Pernah Membedakan DERAJAT,Tetap lah rendah hati saudara ku,Donwload app Uki skrng https://uki.booyah.cc/mobile/#ukiapp #uki #fyp #viral",6963238418734189826,https://www.tiktok.com/@novifatma30/video/6963238418734189826?lang=en,391.0,0.0,92.0,31.0,"['ukiapp', 'uki', 'fyp', 'viral']"
amelia.husnaa,2239.0,2021-05-17,Yuk download UKI supaya gk sendirian.. #fyp #uki #UKIAPP #foryou,6963232999563431170,https://www.tiktok.com/@amelia.husnaa/video/6963232999563431170?lang=en,102100.0,0.0,13.0,3.0,"['fyp', 'uki', 'ukiapp', 'foryou']"
hi.wilson,931.0,2021-05-17,Ayuk download #APPUKI agar gk sendirian lagi #UKI https://uki.booyah.cc/mobile/,6963208679365659906,https://www.tiktok.com/@hi.wilson/video/6963208679365659906?lang=en,101000.0,4.0,3.0,1.0,"['appuki', 'uki']"
jessymargaret.18,13300.0,2021-05-17,Ga ada salahnya berbuat baik 😉 #fyp #ukiapps #uki #fypdongg https://uki.booyah.cc/mobile/,6963254240135449858,https://www.tiktok.com/@jessymargaret.18/video/6963254240135449858?lang=en,1097.0,0.0,1.0,0.0,"['fyp', 'ukiapps', 'uki', 'fypdongg']"
,,,,,,,,,,
eunpou,25400.0,2021-05-17,Jangan lupa untuk berbagi kebaikan ya guys! #uki #ukiapp #ukiappdownload #fyp #foryou,6963243698809212161,https://www.tiktok.com/@eunpou/video/6963243698809212161?lang=en,100800.0,0.0,51.0,0.0,"['uki', 'ukiapp', 'ukiappdownload', 'fyp', 'foryou']"
leca_infinesse,1035.0,2021-05-17,uki squard lagi nongkrong di cafe. ketemu cewe alone di ajak gabung aja deh. km DownLoad jg ya https://uki.booyah.cc/mobile/#Uki #ukiapp,6963263845569662210,https://www.tiktok.com/@leca_infinesse/video/6963263845569662210?lang=en,100400.0,2.0,315.0,12.0,"['uki', 'ukiapp']"
