username,followers,createTime,videoDesc,videoID,videoLink,nViews,nShare,nLikes,nComment,hashtag
retayuu,1294.0,2021-05-18,video apa tuhh😲 #uki #ukiapp #viral #onlineapp,6963530671260241153,https://www.tiktok.com/@retayuu/video/6963530671260241153?lang=en,1068.0,2.0,4.0,2.0,"['uki', 'ukiapp', 'viral', 'onlineapp']"
,,,,,,,,,,
itshrdsmtmhh,5018.0,2021-05-18,Cowo kalian kalo lihat cewe cantik oleng juga ga sih? 🤔 Yuk download #Uki #Ukiapp Dan temukan teman baru! #fyp,6963566671231487233,https://www.tiktok.com/@itshrdsmtmhh/video/6963566671231487233?lang=en,5250.0,1.0,2.0,0.0,"['uki', 'ukiapp', 'fyp']"
hzlwa,1247.0,2021-05-18,cepat download apps uki dan sampai jumpa di uki #uki #ukiapp,6963600092913831170,https://www.tiktok.com/@hzlwa/video/6963600092913831170?lang=en,64.0,0.0,2.0,0.0,"['uki', 'ukiapp']"
irmaapriliana91,1998.0,2021-05-18,Ah dasar cowok #uki #ukiapp,6963606758581423362,https://www.tiktok.com/@irmaapriliana91/video/6963606758581423362?lang=en,8.0,3.0,3.0,0.0,"['uki', 'ukiapp']"
,,,,,,,,,,
olla818,2134.0,2021-05-18,KEPO yayank #uki #ukiapp #fyp,6963612121838013698,https://www.tiktok.com/@olla818/video/6963612121838013698?lang=en,59.0,0.0,8.0,0.0,"['uki', 'ukiapp', 'fyp']"
silviana2.8,12100.0,2021-05-18,#pov : salsa ngamuk ke ihamm.. 🤣  #uki #ukiapp #drama,6963572201039662337,https://www.tiktok.com/@silviana2.8/video/6963572201039662337?lang=en,5362.0,49.0,118.0,100.0,"['pov', 'uki', 'ukiapp', 'drama']"
amandapjtn,18700.0,2021-05-18,kdg cowo ga cukup 1🥺 #uki #ukiapp #fyp #fypシ,6963619801776311553,https://www.tiktok.com/@amandapjtn/video/6963619801776311553?lang=en,2623.0,8.0,241.0,89.0,"['uki', 'ukiapp', 'fyp', 'fypシ']"
meowgaming_,4849.0,2021-05-18,BURUAN DOWNLOAD UKI DAN JUMPAI BANYAK TEMAN DI APK UKI😊#uki #ukiapp,6963634623817567489,https://www.tiktok.com/@meowgaming_/video/6963634623817567489?lang=en,68.0,2.0,5.0,1.0,"['uki', 'ukiapp']"
