username,followers,createTime,videoDesc,videoID,videoLink,nViews,nShare,nLikes,nComment,hashtag
cewek.mancung,5642.0,2021-05-17,energi positif #uki #ukiapp #fyp #fypシ #viral,6963237966856637698,https://www.tiktok.com/@cewek.mancung/video/6963237966856637698?lang=en,110400.0,0.0,22.0,2.0,"['uki', 'ukiapp', 'fyp', 'fypシ', 'viral']"
fahcrulmax,669.0,2021-05-17,Tebarkan energi positif kepada orang lain agar energi positif datang juga kepada kita dan #PepsiApplePieChallenge #voiceeffects #uki #ukiapp,6963241693529394434,https://www.tiktok.com/@fahcrulmax/video/6963241693529394434?lang=en,100400.0,0.0,569.0,1.0,"['PepsiApplePieChallenge', 'voiceeffects', 'uki', 'ukiapp']"
inginaestheticajah,268.0,2021-05-17,Tetaplah tebarkan kebaikan dimanapun berada. jangan lupa download app UKI dan dapatkan teman baru disana #uki #ukiapp,6963193945396464898,https://www.tiktok.com/@inginaestheticajah/video/6963193945396464898?lang=en,100200.0,0.0,1055.0,0.0,"['uki', 'ukiapp']"
ip_rama12,194.0,2021-05-17,Indahnya Berbagi. Download Uki dan Temukan saya disana #Uki #Ukiapp #Fyp,6963233937753771266,https://www.tiktok.com/@ip_rama12/video/6963233937753771266?lang=en,100100.0,1.0,5.0,1.0,"['uki', 'ukiapp', 'fyp']"
oktorizaldi,961.0,2021-05-17,perjalanan ke kampung ku saat liburan lebaran #uki #ukiapp,6963216019355634946,https://www.tiktok.com/@oktorizaldi/video/6963216019355634946?lang=en,9244.0,0.0,8.0,1.0,"['uki', 'ukiapp']"
sini.wehh,1577.0,2021-05-17,Ayo berbagi ber🥰🥰#uki #ukiapp #ukidownloadapp #fypシ,6963216391931464961,https://www.tiktok.com/@sini.wehh/video/6963216391931464961?lang=en,101600.0,0.0,15.0,0.0,"['uki', 'ukiapp', 'ukidownloadapp', 'fypシ']"
zaochannel,30.0,2021-05-17,Energi positif Ayo download aplikasi UKI kita ketemuan disana #tiktok #tiktokindonesia #viral #trending #fyp,6963183735843917057,https://www.tiktok.com/@zaochannel/video/6963183735843917057?lang=en,7.0,0.0,3.0,1.0,"['tiktok', 'tiktokindonesia', 'viral', 'trending', 'fyp']"
acha1606,1367.0,2021-05-17,kalian jangan lupa juga buat berbagi yah dan selalu tebar energi postive🥰 Jangan lupa download Uki dan temui aku disana❤️ #uki #ukiapp,6963239402235563266,https://www.tiktok.com/@acha1606/video/6963239402235563266?lang=en,107500.0,1.0,86.0,1.0,"['uki', 'ukiapp']"
agungbejo123,555.0,2021-05-17,"download uki , temukan saya disana.  #uki #ukiapp",6963223292752841985,https://www.tiktok.com/@agungbejo123/video/6963223292752841985?lang=en,100500.0,0.0,1114.0,1.0,"['uki', 'ukiapp']"
anayla99,4454.0,2021-05-17,"Bertemanlah dengan siapapun, untuk menambah banyak teman download UKI #uki #ukiapp #fyp #foryouforyoupage",6963223958506278146,https://www.tiktok.com/@anayla99/video/6963223958506278146?lang=en,100600.0,2.0,622.0,2.0,"['uki', 'ukiapp', 'fyp', 'foryouforyoupage']"
arcelia_doreen,3460.0,2021-05-17,Saling Berbagi itu Indah.. #uki #ukiapp #ukiapk #fyp #fypindonesia,6963237906668408065,https://www.tiktok.com/@arcelia_doreen/video/6963237906668408065?lang=en,103700.0,16.0,338.0,5.0,"['uki', 'ukiapp', 'ukiapk', 'fyp', 'fypindonesia']"
cici_koto,2915.0,2021-05-17,"energi positif yg diperlihatkan benar-benar sama seperti pertemanan kita di UKI app ya, yuk download UKI dan temukan aku disana #ukiapp #uki #fyp",6963127316373359873,https://www.tiktok.com/@cici_koto/video/6963127316373359873?lang=en,104700.0,0.0,302.0,2.0,"['ukiapp', 'uki', 'fyp']"
dandi3131,13300.0,2021-05-17,Download Aplikasi UKI#uki#ukiapp,6963239949348998401,https://www.tiktok.com/@dandi3131/video/6963239949348998401?lang=en,76.0,0.0,17.0,1.0,"['uki', 'ukiapp']"
,,,,,,,,,,
dimas.ug,538.0,2021-05-17,yg temennya sering gosting coba cari temen baru di uki #uki #ukiapp,6963175152356035841,https://www.tiktok.com/@dimas.ug/video/6963175152356035841?lang=en,100200.0,1.0,1063.0,1.0,"['uki', 'ukiapp']"
dimasduara,3434.0,2021-05-17,dikala ngumpul dan teman gak punya ho buat ikutan mabar😭 #uki #ukiapp #mobilelegends,6963199804641922306,https://www.tiktok.com/@dimasduara/video/6963199804641922306?lang=en,101400.0,3.0,13.0,1.0,"['uki', 'ukiapp', 'mobilelegends']"
,,,,,,,,,,
erricasyantiquesyalala,19800.0,2021-05-17,download uki sekarang juga dan dapatkan pasanganmu segera... #ukiapp #ukiappdownload #syantiquesyalala #fyp #foryou,6963225099151428866,https://www.tiktok.com/@erricasyantiquesyalala/video/6963225099151428866?lang=en,114.0,0.0,10.0,0.0,"['ukiapp', 'ukiappdownload', 'syantiquesyalala', 'fyp', 'foryou']"
frxcyl,9045.0,2021-05-17,Spread love and happiness❤️ download aplikasi Uki dan bertemu aku disana! #ukiapp #uki,6963184782503087362,https://www.tiktok.com/@frxcyl/video/6963184782503087362?lang=en,100600.0,1.0,111.0,7.0,"['ukiapp', 'uki']"
hii_samm,681.0,2021-05-17,Ingat ya guys dimanapun dan kapanpun kalian harus berbuat baik! Yukk download uki di app/playstore kamu!! #uki #ukiapp,6963231655276465409,https://www.tiktok.com/@hii_samm/video/6963231655276465409?lang=en,100600.0,1.0,73.0,2.0,"['uki', 'ukiapp']"
iantjaya1,1581.0,2021-05-17,janganlah merasa galau dan gunda selagi masih ada uki bersama kita...#uki #ukiapp #ukiappdownload #fyp,6963203747526855938,https://www.tiktok.com/@iantjaya1/video/6963203747526855938?lang=en,116200.0,1.0,481.0,7.0,"['uki', 'ukiapp', 'ukiappdownload', 'fyp']"
