username,followers,createTime,videoDesc,videoID,videoLink,nViews,nShare,nLikes,nComment,hashtag
,,,,,,,,,,
mersy2406,164.0,2021-05-17,Untung punya tmn sefrekuensi #fffff #uki #ukiapp,6963209316048456961,https://www.tiktok.com/@mersy2406/video/6963209316048456961?lang=en,32.0,2.0,6.0,4.0,"['fffff', 'uki', 'ukiapp']"
denganvivi,33200.0,2021-05-17,ukinya bosttt. link : https://uki.booyah.cc/mobile/ #Uki #Ukiapp,6963214707851267329,https://www.tiktok.com/@denganvivi/video/6963214707851267329?lang=en,4617.0,0.0,51.0,1.0,"['uki', 'ukiapp']"
parligita,2785.0,2021-05-17,"Indahnya berbagi, bagikan energi positifmu 😍, yuk ketemu teman di UKI, klik ini bebs https://uki.booyah.cc/mobile/#uki #ukiapp",6963268187152485634,https://www.tiktok.com/@parligita/video/6963268187152485634?lang=en,1049.0,45.0,27.0,4.0,"['uki', 'ukiapp']"
erere177,2518.0,2021-05-17,saling berbagi itu indah #uki #Ukiapp #fyp,6963280434377592066,https://www.tiktok.com/@erere177/video/6963280434377592066?lang=en,1077.0,0.0,36.0,3.0,"['uki', 'ukiapp', 'fyp']"
deptaagstri,18200.0,2021-05-17,🥺👉🏻👈🏻#uki #ukiapp,6963285612753472770,https://www.tiktok.com/@deptaagstri/video/6963285612753472770?lang=en,1079.0,0.0,5.0,1.0,"['uki', 'ukiapp']"
putrisilv28,1042.0,2021-05-17,berbagi itu indah https://uki.booyah.cc/mobile/ #Uki #ukiapp,6963300817449291009,https://www.tiktok.com/@putrisilv28/video/6963300817449291009?lang=en,100700.0,0.0,44.0,0.0,"['uki', 'ukiapp']"
babyrarachan,17200.0,2021-05-17,indahnya berbagi sesama umat manusia..https://uki.booyah.cc/mobile/#Uki #ukiapp,6963257091951758593,https://www.tiktok.com/@babyrarachan/video/6963257091951758593?lang=en,100800.0,0.0,178.0,1.0,"['uki', 'ukiapp']"
mamatgaming10,1137.0,2021-05-17,jangan lupa berbuat baik . https://uki.booyah.cc/mobile/#Uki #ukiapp #fyp,6963236656824552705,https://www.tiktok.com/@mamatgaming10/video/6963236656824552705?lang=en,26900.0,2.0,112.0,1.0,"['uki', 'ukiapp', 'fyp']"
primaasarii_,51200.0,2021-05-18,sharing is caring #Uki #UkiApp #ukiappdownload https://uki.booyah.cc/mobile/,6963308717848661249,https://www.tiktok.com/@primaasarii_/video/6963308717848661249?lang=en,100800.0,1.0,146.0,0.0,"['uki', 'ukiapp', 'ukiappdownload']"
