username,followers,createTime,videoDesc,videoID,videoLink,nViews,nShare,nLikes,nComment,hashtag
tariidan,989,2021-06-12,Jangan lupa download uki ya guys kali aja ketemu jodoh😁 #uki #ukiapp,6972818970055347458,https://www.tiktok.com/@tariidan/video/6972818970055347458?lang=en,1124,1,103,3,"['uki', 'ukiapp']"
newbelegend,11300,2021-06-12,"Dijodohin mulu padahal gue pingin usaha sendiri, eitt makanya cobain ini di https://uki.booyah.cc/mobile/ #uki #ukiapp #viral #fyp",6972827953486974209,https://www.tiktok.com/@newbelegend/video/6972827953486974209?lang=en,4251,0,32,0,"['uki', 'ukiapp', 'viral', 'fyp']"
akun_bobrok,202700,2021-06-12,Salah pemikiran #uki #ukiapp,6972675201406422273,https://www.tiktok.com/@akun_bobrok/video/6972675201406422273?lang=en,1306,0,41,0,"['uki', 'ukiapp']"
cacafelisha0,140,2021-06-12,hari gini kamu msii gkk punya pasangan kasian yaa mknyaa kamu download UKI dan temukan tipe ideal kamu#UKIapp #uki #fypシ #fyp,6972822267893943554,https://www.tiktok.com/@cacafelisha0/video/6972822267893943554?lang=en,93400,0,1,0,"['ukiapp', 'uki', 'fypシ', 'fyp']"
_babbybo,559,2021-06-12,download aplikasi uki sekarang 🥰 #ukidownloadapp #uki #ukiapp,6972816481511918849,https://www.tiktok.com/@_babbybo/video/6972816481511918849?lang=en,11200,0,139,63,"['ukidownloadapp', 'uki', 'ukiapp']"
fiqruyy,1271,2021-06-12,yey akhirnya diizinin 🥺🙏#uki #ukiapp,6972835201982500098,https://www.tiktok.com/@fiqruyy/video/6972835201982500098?lang=en,2189,0,142,20,"['uki', 'ukiapp']"
elzaraproject,247,2021-06-12,Sepupuku galau berat gegara pengen punya pacar tapi ortu melarang keras. Kusaranin aja buat download UKI APPS #uki #ukiapp #fyp,6972810995987254530,https://www.tiktok.com/@elzaraproject/video/6972810995987254530?lang=en,1078,0,26,1,"['uki', 'ukiapp', 'fyp']"
cici_koto,2912,2021-06-12,"sepupuku cari jodoh di uki, yu download UKI , Mana tau kalian berjodoh disana #uki #ukiapp #fyp #fypシ",6972809379087142146,https://www.tiktok.com/@cici_koto/video/6972809379087142146?lang=en,105300,0,132,11,"['uki', 'ukiapp', 'fyp', 'fypシ']"
rizalnasution90,104400,2021-06-12,saran untuk sepupu !! download UKI ayo ktemu disana #uki #ukiapp #fypシ #fyi #love,6972806479611006209,https://www.tiktok.com/@rizalnasution90/video/6972806479611006209?lang=en,102800,318,777,56,"['uki', 'ukiapp', 'fypシ', 'fyi', 'love']"
newbelegend,11300,2021-06-12,"Jatuh cinta itu unik bisa darimanapun, kalian cobain deh di https://uki.booyah.cc/mobile/ #uki #ukiapp #viral #fyp #cinta",6972826687084006658,https://www.tiktok.com/@newbelegend/video/6972826687084006658?lang=en,3983,0,27,0,"['uki', 'ukiapp', 'viral', 'fyp', 'cinta']"
co.lideartmi,5648,2021-06-12,cerita pendek .yuk Download uki temukan banyak teman di sana #uki #ukiapp,6972824373958954242,https://www.tiktok.com/@co.lideartmi/video/6972824373958954242?lang=en,235,1,13,1,"['uki', 'ukiapp']"
akun_bobrok,202700,2021-06-12,Jadi tau#uki #ukiapp,6972675488653380865,https://www.tiktok.com/@akun_bobrok/video/6972675488653380865?lang=en,1867,0,71,0,"['uki', 'ukiapp']"
vollarramli,5103,2021-06-12,Coba terka apa akhir kisah cinta Lisa💕 #uki#ukiapp#ukiappdownload#,6972723380625706241,https://www.tiktok.com/@vollarramli/video/6972723380625706241?lang=en,109600,4,1252,112,"['uki', 'ukiapp', 'ukiappdownload']"
rizalnasution90,104400,2021-06-12,akhirnya dapet restu !! download UKi mari bertemu disana #ukiapp #uki #love #fyi #fypシ,6972803467396140290,https://www.tiktok.com/@rizalnasution90/video/6972803467396140290?lang=en,107600,328,967,60,"['ukiapp', 'uki', 'love', 'fyi', 'fypシ']"
usdeles,169,2021-06-12,Pengen punya pasangan ideal? Download UKI sekarang juga dan temukan pasanganmu di sana #uki #ukidownloadapp,6972813914451021057,https://www.tiktok.com/@usdeles/video/6972813914451021057?lang=en,1045,0,8,3,"['uki', 'ukidownloadapp']"
