username,followers,createTime,videoDesc,videoID,videoLink,nViews,nShare,nLikes,nComment,hashtag
syarifah.ulfa,10500,2021-06-12,Download UKI sekarang! https://uki.booyah.cc/mobile/ #uki #ukiapp,6972816502189821186,https://www.tiktok.com/@syarifah.ulfa/video/6972816502189821186?lang=en,105100,31,472,13,"['uki', 'ukiapp']"
laurenkuin,10700,2021-06-12,Positive energy to attracted your mate! Download UKI App now & find favorite mate https://uki.booyah.cc/mobile/ #uki #ukiapp,6972877118044753158,https://www.tiktok.com/@laurenkuin/video/6972877118044753158?lang=en,6638,9,103,14,"['uki', 'ukiapp']"
deborahsyella,661,2021-06-12,"Tips lagi nih dari aku,langsung simak dan Download UKI sekarang ya https://uki.booyah.cc/mobile/ #uki #ukiapp",6972812902927486209,https://www.tiktok.com/@deborahsyella/video/6972812902927486209?lang=en,1367,9,100,10,"['uki', 'ukiapp']"
adarasa.com,487,2021-06-13,download UKI now and find someone love you 💕 https://uki.booyah.cc/mobile/ #uki #ukiapp,6973065153441058050,https://www.tiktok.com/@adarasa.com/video/6973065153441058050?lang=en,241,16,11,0,"['uki', 'ukiapp']"
wirafitamaatmaj,3356,2021-06-12,Yok.. download UKI sekarang!https://uki.booyah.cc/mobile/#uki #ukiapp,6972820580722674946,https://www.tiktok.com/@wirafitamaatmaj/video/6972820580722674946?lang=en,131400,10,497,12,"['uki', 'ukiapp']"
yaniinach,2368,2021-06-12,cari banyak temen yuk di uki... https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #tipsandtrick #relationship #fypシ,6972877845139885313,https://www.tiktok.com/@yaniinach/video/6972877845139885313?lang=en,1330,7,11,11,"['uki', 'ukiapp', 'fyp', 'tipsandtrick', 'relationship', 'fypシ']"
memelahap,93200,2021-06-13,Tips Menghilangkan Aura Negative. Ingin Tips Lainnya Dari Aku? download Uki Dan Temui Aku Disana #uki #ukiapp https://uki.booyah.cc/mobile/,6972955679430577410,https://www.tiktok.com/@memelahap/video/6972955679430577410?lang=en,100000,0,171,0,"['uki', 'ukiapp']"
watirahma021_,151,2021-06-12,Ada tips lagi nih dan jangan lupa download UKI yah  https://uki.booyah.cc/mobile/#ukiapp #uki,6972946558564175106,https://www.tiktok.com/@watirahma021_/video/6972946558564175106?lang=en,267,0,3,0,"['ukiapp', 'uki']"
kepodehh29,45,2021-06-13,Menarik perhatian.Yuk download  UKI https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #fypgakni,6972977265344793858,https://www.tiktok.com/@kepodehh29/video/6972977265344793858?lang=en,224,0,2,0,"['uki', 'ukiapp', 'fyp', 'fypgakni']"
mputrimeput,1759,2021-06-12,Download UKI sekarang! https://uki.booyah.cc/mobile/ #uki #ukiapp,6972809015533260034,https://www.tiktok.com/@mputrimeput/video/6972809015533260034?lang=en,1223,5,15,0,"['uki', 'ukiapp']"
triagustinnurrullita,72000,2021-06-12,"bahasa tubuh !! Kalau belum cobain aja langsung download, dijamin seruuu💜 https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp",6972944748965334273,https://www.tiktok.com/@triagustinnurrullita/video/6972944748965334273?lang=en,100300,0,627,41,"['uki', 'ukiapp', 'fyp']"
tiusicaagnes,489,2021-06-12,download app UKI and we meet again https://uki.booyah.cc/mobile/ #uki #ukiapp,6972785072600632577,https://www.tiktok.com/@tiusicaagnes/video/6972785072600632577?lang=en,1405,26,380,26,"['uki', 'ukiapp']"
freaklines27,23300,2021-06-12,Don't know where to get a boyfriend? Download Uki to find your partner https://uki.booyah.cc/mobile/ #uki #ukiapp,6972880341476445441,https://www.tiktok.com/@freaklines27/video/6972880341476445441?lang=en,101100,220,1266,56,"['uki', 'ukiapp']"
dindale7,239,2021-06-13,"Aku udah download UKI, kamu kapan? https://uki.booyah.cc/mobile/ #uki #ukiapp",6972959336238828802,https://www.tiktok.com/@dindale7/video/6972959336238828802?lang=en,102400,0,257,0,"['uki', 'ukiapp']"
yudiharians1,16800,2021-06-12,"nih aku lagi berbagi tips, semoga bermanfaat ya , jangan lupa download UKI https://uki.booyah.cc/mobile/ #uki #ukiapp",6972886962764123394,https://www.tiktok.com/@yudiharians1/video/6972886962764123394?lang=en,186100,390,1346,16,"['uki', 'ukiapp']"
yurayurari10,440,2021-06-12,Yuk cari pacar di #uki #ukiapp dan stop melakukan hal² tsb saat kencan~ https://uki.booyah.cc/mobile/,6972926663122226433,https://www.tiktok.com/@yurayurari10/video/6972926663122226433?lang=en,814,166,124,49,"['uki', 'ukiapp']"
kennie92,42200,2021-06-12,bagaimana memiliki energi yang menarik saat berkencan dan apa yang TDK boleh dilakukan? hhtps://uki.booyah.cc/mobile/ #uki #ukiapp,6972868303597374721,https://www.tiktok.com/@kennie92/video/6972868303597374721?lang=en,100400,9,112,1,"['uki', 'ukiapp']"
syarifah.ulfa,10500,2021-06-12,Download UKI sekarang! https://uki.booyah.cc/mobile/ #uki #ukiapp,6972860846925942018,https://www.tiktok.com/@syarifah.ulfa/video/6972860846925942018?lang=en,1182,16,40,5,"['uki', 'ukiapp']"
laurenkuin,10700,2021-06-12,Where you can find someone? Download UKI App now https://uki.booyah.cc/mobile/ #uki #ukiapp,6972877604739173638,https://www.tiktok.com/@laurenkuin/video/6972877604739173638?lang=en,10100,10,103,10,"['uki', 'ukiapp']"
deborahsyella,661,2021-06-12,"Nihh aku kasih tips lagi,langsung tonton dan download UKI ya https://uki.booyah.cc/mobile/ #uki #ukiapp",6972821193170717953,https://www.tiktok.com/@deborahsyella/video/6972821193170717953?lang=en,1342,10,100,12,"['uki', 'ukiapp']"
adarasa.com,487,2021-06-13,download UKI and you will find many others people there ✨ https://uki.booyah.cc/mobile/ #uki #ukiapp,6973066049881115905,https://www.tiktok.com/@adarasa.com/video/6973066049881115905?lang=en,232,3,11,0,"['uki', 'ukiapp']"
wirafitamaatmaj,3356,2021-06-12,Yok.. download UKI sekarang!https://uki.booyah.cc/mobile/#uki #ukiapp,6972821954659208450,https://www.tiktok.com/@wirafitamaatmaj/video/6972821954659208450?lang=en,168000,14,1000,9,"['uki', 'ukiapp']"
yaniinach,2368,2021-06-12,ayo download uki... https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #tipsandtrick #relationship #fypシ,6972887315639192834,https://www.tiktok.com/@yaniinach/video/6972887315639192834?lang=en,2327,6,11,10,"['uki', 'ukiapp', 'fyp', 'tipsandtrick', 'relationship', 'fypシ']"
memelahap,93200,2021-06-13,Tanda Bahasa Tubuh Seseorang Yang Menyukai Anda. Ingin Tanda Lainnya? download uki Sekarang juga. #uki #ukiapp https://uki.booyah.cc/mobile/,6972970762751708417,https://www.tiktok.com/@memelahap/video/6972970762751708417?lang=en,100000,0,462,0,"['uki', 'ukiapp']"
watirahma021_,151,2021-06-13,Ayo download Uki dan temukan pasanganmu sekaranghttps://uki.booyah.cc/mobile/#uki #ukiapp,6972962034669341954,https://www.tiktok.com/@watirahma021_/video/6972962034669341954?lang=en,277,0,3,0,"['uki', 'ukiapp']"
kepodehh29,45,2021-06-13,Cara mengetahui bahasa tubuh! Unduh UKI https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #fypgakni,6972980884139986178,https://www.tiktok.com/@kepodehh29/video/6972980884139986178?lang=en,219,0,1,0,"['uki', 'ukiapp', 'fyp', 'fypgakni']"
mputrimeput,1759,2021-06-12,Download UKI sekarang! https://uki.booyah.cc/mobile/ #uki #ukiapp,6972809539053817089,https://www.tiktok.com/@mputrimeput/video/6972809539053817089?lang=en,2030,4,15,1,"['uki', 'ukiapp']"
triagustinnurrullita,72000,2021-06-12,"tips menarik kencan   !! Kalau belum cobain aja langsung download, dijamin seruuu💜 https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp",6972945022840786177,https://www.tiktok.com/@triagustinnurrullita/video/6972945022840786177?lang=en,100600,0,578,44,"['uki', 'ukiapp', 'fyp']"
tiusicaagnes,489,2021-06-12,download app UKI and we meet again https://uki.booyah.cc/mobile/ #uki #ukiapp,6972786230828223745,https://www.tiktok.com/@tiusicaagnes/video/6972786230828223745?lang=en,1871,109,370,31,"['uki', 'ukiapp']"
freaklines27,23300,2021-06-12,You dont know where to get a partner? Download Uki to find your partner https://uki.booyah.cc/mobile/ #uki #ukiapp,6972889372307885313,https://www.tiktok.com/@freaklines27/video/6972889372307885313?lang=en,101600,302,1230,61,"['uki', 'ukiapp']"
