username,followers,createTime,videoDesc,videoID,videoLink,nViews,nShare,nLikes,nComment,hashtag,statusCode
syarifah.ulfa,10500.0,2021-06-10,Download UKI sekarang! https://uki.booyah.cc/mobile/ #uki #ukiapp,6972078269524954370,https://www.tiktok.com/@syarifah.ulfa/video/6972078269524954370?lang=en,121300.0,36.0,921.0,7.0,"['uki', 'ukiapp']",
laurenkuin,10700.0,2021-06-10,"Heyo girls, i have tips! Download UKI App now & find your mate https://uki.booyah.cc/mobile/ #uki #ukiapp",6972068960040684805,https://www.tiktok.com/@laurenkuin/video/6972068960040684805?lang=en,9139.0,11.0,98.0,15.0,"['uki', 'ukiapp']",
dinantinanda,3390.0,2021-06-10,"Tips para perempuan ketika kencan pertama, ayo download UKI sekarang juga https://uki.booyah.cc/mobile/ #uki #ukiapp",6972162894507019522,https://www.tiktok.com/@dinantinanda/video/6972162894507019522?lang=en,101600.0,31.0,1523.0,28.0,"['uki', 'ukiapp']",
adarasa.com,487.0,2021-06-11,let's go to download UKI and use this flirting on your partner 💕 https://uki.booyah.cc/mobile/ #uki #ukiapp,6972324590869581057,https://www.tiktok.com/@adarasa.com/video/6972324590869581057?lang=en,247.0,10.0,12.0,8.0,"['uki', 'ukiapp']",
wirafitamaatmaj,3356.0,2021-06-10,Yok.. download UKI sekarang!https://uki.booyah.cc/mobile/#uki #ukiapp #fyp #foryoupage #kreatortiktok,6972145811408948482,https://www.tiktok.com/@wirafitamaatmaj/video/6972145811408948482?lang=en,114000.0,12.0,543.0,20.0,"['uki', 'ukiapp', 'fyp', 'foryoupage', 'kreatortiktok']",
nhikmahmnaim,2038.0,2021-06-10,lagi suka sama cowo? simak videonya! jangan lupa buat download aplikasi uki sekarang 🙌🏻 https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #fypdong,6972208737541000449,https://www.tiktok.com/@nhikmahmnaim/video/6972208737541000449?lang=en,218.0,1.0,9.0,0.0,"['uki', 'ukiapp', 'fyp', 'fypdong']",
yaniinach,2368.0,2021-06-10,cari gebetan kamu di uki.. https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #tips #relationship #fypシ,6972114361015962882,https://www.tiktok.com/@yaniinach/video/6972114361015962882?lang=en,232.0,6.0,10.0,11.0,"['uki', 'ukiapp', 'fyp', 'tips', 'relationship', 'fypシ']",
memelahap,93200.0,2021-06-10,Tips Agar Dia Menyukai anda. Ingin Tahu Tips Lainnya? download uki Sekarang Dan Temui Aku Disana #uki #ukiapp https://uki.booyah.cc/mobile/,6972088184708779265,https://www.tiktok.com/@memelahap/video/6972088184708779265?lang=en,100000.0,1.0,342.0,0.0,"['uki', 'ukiapp']",
sindukinanti93,27.0,2021-06-11,yuk download https://uki.booyah.cc/mobile/ #uki #ukiapp,6972220748702272770,https://www.tiktok.com/@sindukinanti93/video/6972220748702272770?lang=en,227.0,3.0,9.0,1.0,"['uki', 'ukiapp']",
watirahma021_,151.0,2021-06-11,"Ini tips untuk para wanita, download uki ya .. https://uki.booyah.cc/mobile/#ukiapp #uki",6972212007709707521,https://www.tiktok.com/@watirahma021_/video/6972212007709707521?lang=en,242.0,1.0,4.0,0.0,"['ukiapp', 'uki']",
