username,followers,createTime,videoDesc,videoID,videoLink,nViews,nShare,nLikes,nComment,hashtag
syarifah.ulfa,10500,2021-06-11,Download UKI sekarang! https://uki.booyah.cc/mobile/ #uki #ukiapp,6972441703462620417,https://www.tiktok.com/@syarifah.ulfa/video/6972441703462620417?lang=en,61200,26,353,4,"['uki', 'ukiapp']"
laurenkuin,10700,2021-06-11,Flirting tips here! So what are you waiting for? Download UKI App https://uki.booyah.cc/mobile/ #uki #ukiapp,6972429266910842117,https://www.tiktok.com/@laurenkuin/video/6972429266910842117?lang=en,4129,9,99,17,"['uki', 'ukiapp']"
deborahsyella,661,2021-06-11,"nih tips lagi nih,yuk langsung kepoin dan Download UKI sekarang ya https://uki.booyah.cc/mobile/ #uki #ukiapp",6972395826458938625,https://www.tiktok.com/@deborahsyella/video/6972395826458938625?lang=en,1404,11,103,14,"['uki', 'ukiapp']"
dinantinanda,3390,2021-06-11,Tips buat orang yang menanyakan kabarmu! ayo download UKI sekarang juga https://uki.booyah.cc/mobile/ #uki #ukiapp,6972534695942737154,https://www.tiktok.com/@dinantinanda/video/6972534695942737154?lang=en,102500,27,1213,17,"['uki', 'ukiapp']"
adarasa.com,487,2021-06-12,"hello girls, don't forget to download UKI and find your partner there 🌻 https://uki.booyah.cc/mobile/ #uki #ukiapp",6972714480740486402,https://www.tiktok.com/@adarasa.com/video/6972714480740486402?lang=en,224,5,13,0,"['uki', 'ukiapp']"
wirafitamaatmaj,3356,2021-06-11,Yok.. download UKI sekarang!https://uki.booyah.cc/mobile/#uki #ukiapp #fyp #foryoupage #kreatortiktok #learnwithtiktok,6972526245217127681,https://www.tiktok.com/@wirafitamaatmaj/video/6972526245217127681?lang=en,100300,25,841,23,"['uki', 'ukiapp', 'fyp', 'foryoupage', 'kreatortiktok', 'learnwithtiktok']"
yaniinach,2368,2021-06-11,ayo cari soulmate kamu di uki.. https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #tipsandtrick #relationship #fypシ,6972446371374714113,https://www.tiktok.com/@yaniinach/video/6972446371374714113?lang=en,1954,7,12,12,"['uki', 'ukiapp', 'fyp', 'tipsandtrick', 'relationship', 'fypシ']"
memelahap,93200,2021-06-11,Tips Jika Dia Bertanya Apa Kabar. Ingin Tips Lainnya Dari Aku? Yuk Temui Aku di Uki. Download Uki Ya. #uki #ukiapp https://uki.booyah.cc/mobile/,6972522866415815937,https://www.tiktok.com/@memelahap/video/6972522866415815937?lang=en,100000,1,1470,0,"['uki', 'ukiapp']"
sindukinanti93,27,2021-06-11,yuk download https://uki.booyah.cc/mobile/#uki #ukiapp,6972575817415036161,https://www.tiktok.com/@sindukinanti93/video/6972575817415036161?lang=en,226,3,8,1,"['uki', 'ukiapp']"
watirahma021_,151,2021-06-11,"Tips penting tonton sampai akhir, & download UKI https://uki.booyah.cc/mobile/#ukiapp #uki",6972553105904848129,https://www.tiktok.com/@watirahma021_/video/6972553105904848129?lang=en,283,1,5,2,"['ukiapp', 'uki']"
kepodehh29,45,2021-06-12,Arti apa kabar.Yuk download  UKI https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #fypgakni,6972606603304471809,https://www.tiktok.com/@kepodehh29/video/6972606603304471809?lang=en,221,0,1,0,"['uki', 'ukiapp', 'fyp', 'fypgakni']"
mputrimeput,1759,2021-06-11,Download UKI sekarang! https://uki.booyah.cc/mobile/ #uki #ukiapp,6972445306562694402,https://www.tiktok.com/@mputrimeput/video/6972445306562694402?lang=en,1528,4,15,0,"['uki', 'ukiapp']"
triagustinnurrullita,72000,2021-06-11,"bahasa tubuh, pada tau aplikasi UKI belum? Kalau belum cobain aja langsung download, dijamin seruuu💜 https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp",6972555616753552641,https://www.tiktok.com/@triagustinnurrullita/video/6972555616753552641?lang=en,140700,0,1022,44,"['uki', 'ukiapp', 'fyp']"
sitifatimahofficial29,135500,2021-06-11,"menggoda, pada tau aplikasi UKI belum? Kalau belum cobain aja langsung download, dijamin seruuu💜 https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp",6972563998118137089,https://www.tiktok.com/@sitifatimahofficial29/video/6972563998118137089?lang=en,125200,2,992,0,"['uki', 'ukiapp', 'fyp']"
tiusicaagnes,489,2021-06-11,download app UKI and we meet again https://uki.booyah.cc/mobile/ #uki #ukiapp,6972457154724908290,https://www.tiktok.com/@tiusicaagnes/video/6972457154724908290?lang=en,1166,140,420,31,"['uki', 'ukiapp']"
