username,followers,createTime,videoDesc,videoID,videoLink,nViews,nShare,nLikes,nComment,hashtag,statusCode,itemInfo,shareMeta
_babbybo,538.0,2021-06-09,jangan lupa download uki🥰 #ukidownloadapp #uki #ukiapp,6971695557970578689,https://www.tiktok.com/@_babbybo/video/6971695557970578689?lang=en,16100.0,0.0,176.0,1.0,"['ukidownloadapp', 'uki', 'ukiapp']",,,
afia_300,12600.0,2021-06-09,Jangan lupa download UKI guys! https://uki.booyah.cc/mobile/ #uki #ukiapp,6971838111374445826,https://www.tiktok.com/@afia_300/video/6971838111374445826?lang=en,111200.0,9.0,1033.0,16.0,"['uki', 'ukiapp']",,,
afia_300,12600.0,2021-06-09,Jangan sampe lupa guys download UKI ya! https://uki.booyah.cc/mobile/ #uki #ukiapp,6971834245463428353,https://www.tiktok.com/@afia_300/video/6971834245463428353?lang=en,101100.0,12.0,386.0,13.0,"['uki', 'ukiapp']",,,
agusrabb33_,101000.0,2021-06-09,kamu ingin menemukan cintamu yang manis hingga kamu lupa makan. downdload aplikasi uki sekrang dan temukan cintamu yg manis #uki #ukiapp,6971797125726276865,https://www.tiktok.com/@agusrabb33_/video/6971797125726276865?lang=en,105900.0,7.0,571.0,9.0,"['uki', 'ukiapp']",,,
ayubiii,355900.0,2021-06-09,kalian pernah gini gak?? #uki #ukiapp,6971680428453268738,https://www.tiktok.com/@ayubiii/video/6971680428453268738?lang=en,1270.0,0.0,33.0,2.0,"['uki', 'ukiapp']",,,
ayumustika_,10600.0,2021-06-09,"yuk ketemu hal-hal seru di UKI, yuk buruan download. #uki #ukiapp #ukidownloadapp",6971838633502412033,https://www.tiktok.com/@ayumustika_/video/6971838633502412033?lang=en,170600.0,0.0,2834.0,4.0,"['uki', 'ukiapp', 'ukidownloadapp']",,,
badzesalam03,203500.0,2021-06-09,"walaupun mama papa melarang pacaran, komunikasi kita tetap berjalan berkat aplikasi UKI ❤ #uki #ukiapp #download #fyp #fypシ #viral #trending",6971792738782055681,https://www.tiktok.com/@badzesalam03/video/6971792738782055681?lang=en,103500.0,649.0,1216.0,23.0,"['uki', 'ukiapp', 'download', 'fyp', 'fypシ', 'viral', 'trending']",,,
badzesalam03,203500.0,2021-06-09,"walaun orang tua kita melarang bertemu, cinta kita akan terus bersama ditemani aplikasi UKI ❤ #uki #ukiapp #download #fyp #fypシ #viral #trending",6971764898111966465,https://www.tiktok.com/@badzesalam03/video/6971764898111966465?lang=en,107500.0,771.0,2029.0,14.0,"['uki', 'ukiapp', 'download', 'fyp', 'fypシ', 'viral', 'trending']",,,
cewek.mancung,5507.0,2021-06-09,curhat ternyaman bareng kenalan UKI #uki #ukiapp,6971777373008039169,https://www.tiktok.com/@cewek.mancung/video/6971777373008039169?lang=en,101400.0,0.0,216.0,2.0,"['uki', 'ukiapp']",,,
cewek.mancung,5507.0,2021-06-09,setelah lama chatting di UKI rasa pingin jumpa pun hadir #uki #ukiapp,6971787272937114882,https://www.tiktok.com/@cewek.mancung/video/6971787272937114882?lang=en,100300.0,0.0,228.0,3.0,"['uki', 'ukiapp']",,,
dennyracmattullah,128000.0,2021-06-09,punya pacar !! download uki link di bio ya https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #pilihan,6971792494535134465,https://www.tiktok.com/@dennyracmattullah/video/6971792494535134465?lang=en,107200.0,9.0,600.0,30.0,"['uki', 'ukiapp', 'fyp', 'pilihan']",,,
dennyracmattullah,128000.0,2021-06-09,mau ketemu kamu !! download uki link di bio ya https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #pilihan,6971792957460450561,https://www.tiktok.com/@dennyracmattullah/video/6971792957460450561?lang=en,108200.0,11.0,1310.0,28.0,"['uki', 'ukiapp', 'fyp', 'pilihan']",,,
dhiyo1998,135100.0,2021-06-09,"Temukan dia yg slama ini kamu cari,download aplikasi UKI sekarang https://uki.booyah.cc/mobile/ #uki #ukiapp",6971821684705774849,https://www.tiktok.com/@dhiyo1998/video/6971821684705774849?lang=en,110500.0,0.0,1145.0,14.0,"['uki', 'ukiapp']",,,
dhiyo1998,135100.0,2021-06-09,"Asiknya sampe lupa makan,download aplikasi UKI sekarang https://uki.booyah.cc/mobile/ #uki #ukiapp",6971821068239572226,https://www.tiktok.com/@dhiyo1998/video/6971821068239572226?lang=en,130500.0,0.0,551.0,16.0,"['uki', 'ukiapp']",,,
doa_ayumi,35900.0,2021-06-09,"#uki #ukiapp seneng bgt akhirnya bisa ketemuan ama doi yg selama ini chat di uki,,, jgn lupa download uki",6971829796775021825,https://www.tiktok.com/@doa_ayumi/video/6971829796775021825?lang=en,111400.0,0.0,603.0,15.0,"['uki', 'ukiapp']",,,
doa_ayumi,35900.0,2021-06-09,#uki #ukiapp  orang tua protektif? Tenang kan ada uki ... bisa deket sama dia lewat hp kamu,6971822074499288321,https://www.tiktok.com/@doa_ayumi/video/6971822074499288321?lang=en,106300.0,0.0,728.0,18.0,"['uki', 'ukiapp']",,,
elzaraproject,169.0,2021-06-09,"Abis kena omel dan ortu dijelasin sejelas jelasnya, akhirnya diizinin pergi guys! Jangan lupa download UKI APPS sekarang juga ya! #uki #ukiapp #fyp",6971800188444806401,https://www.tiktok.com/@elzaraproject/video/6971800188444806401?lang=en,4821.0,0.0,212.0,24.0,"['uki', 'ukiapp', 'fyp']",,,
elzaraproject,169.0,2021-06-09,"Gegara asyik chatting sama temen di UKI, auto diomelin ortu deh. Yuk download UKI APPS sekarang juga ya! #uki #ukiapp #fyp #foryourpage",6971788596739181825,https://www.tiktok.com/@elzaraproject/video/6971788596739181825?lang=en,4822.0,0.0,211.0,24.0,"['uki', 'ukiapp', 'fyp', 'foryourpage']",,,
febyres27,8531.0,2021-06-09,ayuk kencan #uki #ukiapp #ukiapps ukiapps,6971686979004026114,https://www.tiktok.com/@febyres27/video/6971686979004026114?lang=en,112000.0,0.0,599.0,10.0,"['uki', 'ukiapp', 'ukiapps']",,,
febyres27,8531.0,2021-06-09,kencan terlarang. yuk.download uki #uki #ukiapp #uki apps,6971695719732268289,https://www.tiktok.com/@febyres27/video/6971695719732268289?lang=en,110200.0,0.0,423.0,15.0,"['uki', 'ukiapp']",,,
