username,followers,createTime,videoDesc,videoID,videoLink,nViews,nShare,nLikes,nComment,hashtag
dendyanugrahw,1127,2021-06-03,Yuk download UKI sekarang https://uki.booyah.cc/mobile/ #UKI #UKIAPP #fyp,6969539201205406978,https://www.tiktok.com/@dendyanugrahw/video/6969539201205406978?lang=en,254,7,39,32,"['uki', 'ukiapp', 'fyp']"
hunixmaniz,1137,2021-06-05,"Tidak tahu di mana menemukan kekasih untuk Anda. Download Uki, temukan pasangan anda sendiri😊 Link di Bio https://uki.booyah.cc/mobile/#uki #ukiapp",6970278907694042370,https://www.tiktok.com/@hunixmaniz/video/6970278907694042370?lang=en,1204,4,26,18,"['uki', 'ukiapp']"
davius_,2585,2021-06-05,Download Uki aja bang buat nyari temen yang banyak! Cepat download aplikasi Uki dan temukan aku disana 😁 https://uki.booyah.cc/mobile/ #UKI #UKIAPP,6970280814256884993,https://www.tiktok.com/@davius_/video/6970280814256884993?lang=en,314,3,24,17,"['uki', 'ukiapp']"
cibiiiiii,154,2021-06-05,Kalian jomblo?? Yuk download uki di hp kalian bs lewat link ini lo https://uki.booyah.cc/mobile/ #uki #ukiapp,6970290465635634434,https://www.tiktok.com/@cibiiiiii/video/6970290465635634434?lang=en,215,16,21,17,"['uki', 'ukiapp']"
asikasikbun,297,2021-06-05,Ayok download UKI https://uki.booyah.cc/mobile/ #UKI #UKIAAP,6970281511966887170,https://www.tiktok.com/@asikasikbun/video/6970281511966887170?lang=en,565,0,3,0,"['uki', 'ukiaap']"
syoniaanggraina.10,168,2021-06-05,Udah pada unduh aplikasi UKI belum!!!!? https://uki.booyah.cc/mobile/ #UKI #UKIAPP #ukiappdownload #lagiviral #trending,6970273273376443650,https://www.tiktok.com/@syoniaanggraina.10/video/6970273273376443650?lang=en,623,10,43,17,"['uki', 'ukiapp', 'ukiappdownload', 'lagiviral', 'trending']"
akudankamu1_0,11,2021-06-05,download UKI di link ini https://uki.booyah.cc/mobile/ #ukiapp #uki,6970200098055671041,https://www.tiktok.com/@akudankamu1_0/video/6970200098055671041?lang=en,255,0,5,0,"['ukiapp', 'uki']"
agnesrsdnmt,632,2021-06-05,"terngiang"" bgt ni sound nya yuk lah main uki https://uki.booyah.cc/mobile/ #UKI #UKIAPP #fyp #foryoupage  #NyanyiWithPinkSweats",6970294007243066626,https://www.tiktok.com/@agnesrsdnmt/video/6970294007243066626?lang=en,615,4,20,30,"['uki', 'ukiapp', 'fyp', 'foryoupage', 'NyanyiWithPinkSweats']"
cindiafiraaa,230,2021-06-05,Yuk isi waktu gabutmu dengan download UKI sekarang! Dijamin deh gabutnya ilang 😉 #UKI#UKIAPPhttps://uki.booyah.cc/mobile/,6970296496440872193,https://www.tiktok.com/@cindiafiraaa/video/6970296496440872193?lang=en,244,5,26,18,"['uki', 'ukiapp']"
clarenciaaurelia_,134,2021-06-05,Seneng gasi punya temen dari #UKI  #UKIAPP  yang rumahnya deket dan bisa ngonten bareng gini? yuk download  #UKI  sekarang juga,6970259759949794562,https://www.tiktok.com/@clarenciaaurelia_/video/6970259759949794562?lang=en,558,4,28,21,"['uki', 'ukiapp']"
vanvaniaa,593,2021-06-05,mau dong di senggol wkwk. Yuk download aplikasi UKI : https://uki.booyah.cc/mobile/ #uki  #ukiapp #duet #fyp #AtomeKittens #NyanyiWithPinkSweats,6970172226108787969,https://www.tiktok.com/@vanvaniaa/video/6970172226108787969?lang=en,462,5,22,18,"['uki', 'ukiapp', 'duet', 'fyp', 'AtomeKittens', 'NyanyiWithPinkSweats']"
wanitabutuhkasihsayang,2822,2021-06-05,Tunggu apalagi ayo segera download aplikasi UKI di Hp kalian dan temukan jodohmu 😘 https://uki.booyah.cc/mobile/ #UKI #UKIAPP,6970295768708074754,https://www.tiktok.com/@wanitabutuhkasihsayang/video/6970295768708074754?lang=en,251,5,23,18,"['uki', 'ukiapp']"
widya_iyaa,120,2021-06-05,penasaran sama aku  yok download apk UKI app store kalian  atau bisa di https://uki.booyah.cc/mobile/#UKI #UKIAPP,6970289061558832385,https://www.tiktok.com/@widya_iyaa/video/6970289061558832385?lang=en,240,0,1,0,"['uki', 'ukiapp']"
miqordi,140,2021-06-05,"Halo guys, downlod App UKI yuk seru banget https://uki.booyah.cc/mobile/ #UKI #UKIAPP",6970298060228349186,https://www.tiktok.com/@miqordi/video/6970298060228349186?lang=en,397,4,21,18,"['uki', 'ukiapp']"
ivan_avreza,7615,2021-06-05,"Download Uki yuk, temukan banyak teman baru disana ! https://uki.booyah.cc/mobile/ #UKI #UKIAPP",6970299480390388994,https://www.tiktok.com/@ivan_avreza/video/6970299480390388994?lang=en,275,9,28,17,"['uki', 'ukiapp']"
xxrgakim__,852400,2021-06-05,"Fans nya kakek mana ni?😂 || chat sm aku yuk, download UKI sekarang~ #fyp #foryou #viral #transition #slowmo #douyin #reaction #UKI #UKIAPP",6970150609030843649,https://www.tiktok.com/@xxrgakim__/video/6970150609030843649?lang=en,290700,557,38800,615,"['fyp', 'foryou', 'viral', 'transition', 'slowmo', 'douyin', 'reaction', 'uki', 'ukiapp']"
nabeee_la,95,2021-06-05,"Unduh aplikasi uki, klik aja ya linknya di bio aku 👌😊 https://uki.booyah.cc/mobile #uki #ukiapp",6970301921974373633,https://www.tiktok.com/@nabeee_la/video/6970301921974373633?lang=en,273,0,3,2,"['uki', 'ukiapp']"
rianrifan1,105700,2021-06-05,"pencuri celana guys, hati hati 😭, vidio by @brokenvideos07 download UKI https://uki.booyah.cc/mobile/ #fyp #UKI #UKIAPP",6970305410955824386,https://www.tiktok.com/@rianrifan1/video/6970305410955824386?lang=en,3006,2,55,0,"['fyp', 'uki', 'ukiapp']"
wahyusaputra_22,4794,2021-06-05,#uki #ukiapp ayok semuanya buruan download UKI https://uki.booyah.cc/mobile/#NyanyiWithPinkSweats,6970304266707750146,https://www.tiktok.com/@wahyusaputra_22/video/6970304266707750146?lang=en,396,6,35,15,"['uki', 'ukiapp', 'NyanyiWithPinkSweats']"
ester_zebua05,8124,2021-06-05,"#uki #ukiapp tidak tahu dimana kamu menemukan pasangan mu, ayok download UKI https://uki.booyah.cc/mobile/#NyanyiWithPinkSweats",6970306459401817345,https://www.tiktok.com/@ester_zebua05/video/6970306459401817345?lang=en,1142,4,59,18,"['uki', 'ukiapp', 'NyanyiWithPinkSweats']"
mrth.bnd,159,2021-06-05,yuk download aplikasi UKI sekarang juga! 🙌 https://uki.booyah.cc/mobile/ #UKI #UKIAPP,6970308153850236161,https://www.tiktok.com/@mrth.bnd/video/6970308153850236161?lang=en,1099,8,22,18,"['uki', 'ukiapp']"
jereacholagi,2,2021-06-05,Yuk download Uki App dan temukan pasangan kalian disana! https://uki.booyah.cc/mobile/ #Uki #UkiApp,6970313977662295297,https://www.tiktok.com/@jereacholagi/video/6970313977662295297?lang=en,219,0,3,0,"['uki', 'ukiapp']"
alfunoona,98,2021-06-05,Bingung mencari pasang?yuk download Apk UKI di AppStore atau PlayStore dan cari pasangan mu sekarang! https://uki.booyah.cc/mobile/ #UKI #UKIAPP #fyp,6970314494476029186,https://www.tiktok.com/@alfunoona/video/6970314494476029186?lang=en,316,8,27,30,"['uki', 'ukiapp', 'fyp']"
nadayolan10,1274,2021-06-05,Yuk download app nya UKI temukan kan aku & jodoh mu di sanaa 😗 Link https://uki.booyah.cc/mobile/ #Uki #ukiapp,6970322306677722369,https://www.tiktok.com/@nadayolan10/video/6970322306677722369?lang=en,304,5,26,17,"['uki', 'ukiapp']"
leo_sajo,63200,2021-06-05,Ayok download uki dan temukan pasanganmu disana https://uki.booyah.cc/mobile/#UKI #UKIAPP,6970324581173202178,https://www.tiktok.com/@leo_sajo/video/6970324581173202178?lang=en,278,1,18,1,"['uki', 'ukiapp']"
billecute,8328,2021-06-05,jangan lupa download aplikasi UKI biar bisa temenan sama aku hihi!! https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp,6970293912707599617,https://www.tiktok.com/@billecute/video/6970293912707599617?lang=en,237,4,33,32,"['uki', 'ukiapp', 'fyp']"
juwandasinaga,189,2021-06-05,"temukan keluarga baru mu, Download UKI dan temukan aku disana https://uki.booyah.cc/mobile/ #uki #ukiapp #juandadimong",6970307421709421826,https://www.tiktok.com/@juwandasinaga/video/6970307421709421826?lang=en,234,2,7,0,"['uki', 'ukiapp', 'juandadimong']"
faizal_ofc,57,2021-06-05,"Seru""an bareng aku di #UKI #UKIAPP yuk download https://uki.booyah.cc/mobile/",6970334222753991938,https://www.tiktok.com/@faizal_ofc/video/6970334222753991938?lang=en,1023,1,1,0,"['uki', 'ukiapp']"
ulnique,111,2021-06-05,"Jangan lupa download Aplikasi UKI,Temukan banyak teman disana,bisa jd jodoh kamu loh 😍LINK DOWNLOAD ⬇️https://uki.booyah.cc/mobile/#UKI #UKIAPP",6970334034601741570,https://www.tiktok.com/@ulnique/video/6970334034601741570?lang=en,266,0,7,1,"['uki', 'ukiapp']"
najiyahshbryh,1362,2021-06-06,Masa iya ga mau download🤪 yuk ah temukan aku disanaa https://uki.booyah.cc/mobile/ #UKI #ukiapp,6970571025608183041,https://www.tiktok.com/@najiyahshbryh/video/6970571025608183041?lang=en,456,0,7,0,"['uki', 'ukiapp']"
richifenus,360,2021-06-06,AYO BURUAN NIH DOWNLOAD #UKI #UKIAPP https://uki.booyah.cc/mobile/,6970605824033000705,https://www.tiktok.com/@richifenus/video/6970605824033000705?lang=en,1146,0,10,4,"['uki', 'ukiapp']"
oreodoyan,395,2021-06-06,Yuk download aplikasi #UKI Sekarang dan temukan aku disana #UKIAPP https://uki.booyah.cc/mobile/,6970653588704038145,https://www.tiktok.com/@oreodoyan/video/6970653588704038145?lang=en,521,0,5,0,"['uki', 'ukiapp']"
itsnaulqi,234,2021-06-06,Ayo download UKI https://uki.booyah.cc/mobile/ #UKI #UKIAPP,6970579119197129986,https://www.tiktok.com/@itsnaulqi/video/6970579119197129986?lang=en,543,1,5,0,"['uki', 'ukiapp']"
apasikenapasayang,185,2021-06-06,https://uki.booyah.cc/mobile/ GAS DOWNLOAD UKI SKARANG!! #uki #ukiapp,6970658723975007489,https://www.tiktok.com/@apasikenapasayang/video/6970658723975007489?lang=en,547,0,28,0,"['uki', 'ukiapp']"
