username,followers,createTime,videoDesc,videoID,videoLink,nViews,nShare,nLikes,nComment,hashtag
syarifah.ulfa,10500,2021-06-13,Download UKI sekarang! https://uki.booyah.cc/mobile/ #uki #ukiapp,6973177571978546434,https://www.tiktok.com/@syarifah.ulfa/video/6973177571978546434?lang=en,1334,28,56,5,"['uki', 'ukiapp']"
laurenkuin,10700,2021-06-13,This is translate about GIRLS SAY. Download UKI App & find a mate https://uki.booyah.cc/mobile/ #uki #ukiapp,6973224479761730821,https://www.tiktok.com/@laurenkuin/video/6973224479761730821?lang=en,10100,10,113,13,"['uki', 'ukiapp']"
deborahsyella,661,2021-06-13,"Nih kata-kata wanita tuh ada artinya,langsung kepoin dan download UKI ya 😍 https://uki.booyah.cc/mobile/ #uki #ukiapp",6973095444977077506,https://www.tiktok.com/@deborahsyella/video/6973095444977077506?lang=en,1365,9,113,16,"['uki', 'ukiapp']"
dinantinanda,3465,2021-06-14,"Berikut ciri-ciri orang yg tidak menyukai kita, ayo download UKI sekarang juga https://uki.booyah.cc/mobile/ #uki #ukiapp",6973332087197797634,https://www.tiktok.com/@dinantinanda/video/6973332087197797634?lang=en,1024,0,5,0,"['uki', 'ukiapp']"
adarasa.com,487,2021-06-14,"don't worry, download UKI and find your ideal type there. https://uki.booyah.cc/mobile/ #uki #ukiapp",6973429524667157762,https://www.tiktok.com/@adarasa.com/video/6973429524667157762?lang=en,238,15,10,0,"['uki', 'ukiapp']"
wirafitamaatmaj,3386,2021-06-13,Yok.. download UKI sekarang!https://uki.booyah.cc/mobile/#uki #ukiapp,6973261700850060545,https://www.tiktok.com/@wirafitamaatmaj/video/6973261700850060545?lang=en,160500,34,295,5,"['uki', 'ukiapp']"
yaniinach,2368,2021-06-13,temukan pasangan yang kamu inginkan di uki.. https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #tipsandtrick #relationship #fypシ,6973274139297631489,https://www.tiktok.com/@yaniinach/video/6973274139297631489?lang=en,1076,6,12,9,"['uki', 'ukiapp', 'fyp', 'tipsandtrick', 'relationship', 'fypシ']"
memelahap,93100,2021-06-13,"Tanda Anda Lebih Menarik Dari yang Anda Pikirkan, Ingin Tanda Atau Tips Lain Dari Aku? Download Uki Aja. #uki #UKIapp https://uki.booyah.cc/mobile/",6973299620684320002,https://www.tiktok.com/@memelahap/video/6973299620684320002?lang=en,102200,0,752,0,"['uki', 'ukiapp']"
watirahma021_,151,2021-06-14,"Kalian harus tau ini, & download UKI skarang juga https://uki.booyah.cc/mobile/#ukiapp #uki",6973328555413376257,https://www.tiktok.com/@watirahma021_/video/6973328555413376257?lang=en,228,0,1,0,"['ukiapp', 'uki']"
kepodehh29,45,2021-06-14,Menolak halus.Yuk download  UKI https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #fypgakni,6973342692726131970,https://www.tiktok.com/@kepodehh29/video/6973342692726131970?lang=en,217,0,0,0,"['uki', 'ukiapp', 'fyp', 'fypgakni']"
mputrimeput,1759,2021-06-13,Download UKI sekarang! https://uki.booyah.cc/mobile/ #uki #ukiapp,6973189470019423489,https://www.tiktok.com/@mputrimeput/video/6973189470019423489?lang=en,1058,4,15,0,"['uki', 'ukiapp']"
triagustinnurrullita,72100,2021-06-13,"kode cowok !! Kalau belum cobain aja langsung download, dijamin seruuu💜 https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp",6973317804359568641,https://www.tiktok.com/@triagustinnurrullita/video/6973317804359568641?lang=en,121100,0,699,47,"['uki', 'ukiapp', 'fyp']"
tiusicaagnes,488,2021-06-13,download app UKI and we meet again https://uki.booyah.cc/mobile/ #uki #ukiapp,6973224952199744770,https://www.tiktok.com/@tiusicaagnes/video/6973224952199744770?lang=en,1648,109,287,33,"['uki', 'ukiapp']"
freaklines27,23500,2021-06-13,Feel lonely and want to talk to someone? Download Uki so you can find a new friends in here https://uki.booyah.cc/mobile/ #uki #ukiapp,6973238790806703362,https://www.tiktok.com/@freaklines27/video/6973238790806703362?lang=en,101300,396,1212,62,"['uki', 'ukiapp']"
yudiharians1,16800,2021-06-13,"Yuk download aplikasi UKI sekarang https://uki.booyah.cc/mobile/ #uki #ukiapp , temukan teman barumu disana",6973257901880233217,https://www.tiktok.com/@yudiharians1/video/6973257901880233217?lang=en,123500,103,920,52,"['uki', 'ukiapp']"
yurayurari10,440,2021-06-13,"Buat para cowo nih~ yg cewe jg jangan kebanyakan ngode PHP, klo gk mau blg aj. Mending cari yg pasti aja di #Uki #Ukiapp https://uki.booyah.cc/mobile/",6973322367426727170,https://www.tiktok.com/@yurayurari10/video/6973322367426727170?lang=en,919,154,117,48,"['uki', 'ukiapp']"
kennie92,42200,2021-06-13,menerjemahkan hal-hal yang dikatakan gadis kepada pria yuk simak jgn lupa download aplikasi UKI ya hhtps://uki.booyah.cc/mobile/ #uki #ukiapp,6973310441552383234,https://www.tiktok.com/@kennie92/video/6973310441552383234?lang=en,100700,10,101,14,"['uki', 'ukiapp']"
syarifah.ulfa,10500,2021-06-13,Download UKI sekarang! https://uki.booyah.cc/mobile/ #uki #ukiapp,6973208149922761986,https://www.tiktok.com/@syarifah.ulfa/video/6973208149922761986?lang=en,1047,10,61,5,"['uki', 'ukiapp']"
laurenkuin,10700,2021-06-13,"Hey, these one meaning of men’s words! Download UKI App https://uki.booyah.cc/mobile/ #uki #ukiapp",6973225905996958982,https://www.tiktok.com/@laurenkuin/video/6973225905996958982?lang=en,7137,9,113,19,"['uki', 'ukiapp']"
deborahsyella,661,2021-06-13,"Nih Arti kata-kata yang cowo ucapin,langsung kepoin dan Download UKI sekarang ya https://uki.booyah.cc/mobile/ #uki #ukiapp",6973096102677581058,https://www.tiktok.com/@deborahsyella/video/6973096102677581058?lang=en,1387,10,114,17,"['uki', 'ukiapp']"
dinantinanda,3465,2021-06-14,"Berikut arti ucapan pria, ayo download UKI sekarang juga https://uki.booyah.cc/mobile/ #uki #ukiapp",6973340919709879553,https://www.tiktok.com/@dinantinanda/video/6973340919709879553?lang=en,1010,0,5,0,"['uki', 'ukiapp']"
adarasa.com,487,2021-06-14,now do you understand? let's go! download UKI and use these tips to check!! https://uki.booyah.cc/mobile/ #uki #ukiapp,6973430430976478465,https://www.tiktok.com/@adarasa.com/video/6973430430976478465?lang=en,228,18,10,0,"['uki', 'ukiapp']"
wirafitamaatmaj,3386,2021-06-13,Yok.. download UKI sekarang!https://uki.booyah.cc/mobile/#uki #ukiapp,6973254689294978305,https://www.tiktok.com/@wirafitamaatmaj/video/6973254689294978305?lang=en,111000,19,236,3,"['uki', 'ukiapp']"
memelahap,93100,2021-06-13,beberapa Tanda Orang Lain tidak menyukai Anda. Ingin Tanda/Tips Lainnya? download uki dan temui aku disana #uki #ukiapp https://uki.booyah.cc/mobile/,6973300235170827521,https://www.tiktok.com/@memelahap/video/6973300235170827521?lang=en,110100,0,706,0,"['uki', 'ukiapp']"
watirahma021_,151,2021-06-14,"tanda orang tidak menyukaimu, dan jangan lupa download uki https://uki.booyah.cc/mobile/#uki #ukiapp",6973337098661268738,https://www.tiktok.com/@watirahma021_/video/6973337098661268738?lang=en,221,0,3,0,"['uki', 'ukiapp']"
kepodehh29,45,2021-06-14,Cara mengetahui perkataan pria! Unduh UKI https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #fypgakni,6973346940960476418,https://www.tiktok.com/@kepodehh29/video/6973346940960476418?lang=en,208,0,1,0,"['uki', 'ukiapp', 'fyp', 'fypgakni']"
mputrimeput,1759,2021-06-13,Download UKI sekarang! https://uki.booyah.cc/mobile/ #uki #ukiapp,6973190203829718273,https://www.tiktok.com/@mputrimeput/video/6973190203829718273?lang=en,1335,4,15,1,"['uki', 'ukiapp']"
triagustinnurrullita,72100,2021-06-13,"kode cewek !! Kalau belum cobain aja langsung download, dijamin seruuu💜 https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp",6973318085780557058,https://www.tiktok.com/@triagustinnurrullita/video/6973318085780557058?lang=en,131100,0,669,42,"['uki', 'ukiapp', 'fyp']"
tiusicaagnes,488,2021-06-13,download app UKI and we meet again https://uki.booyah.cc/mobile/ #uki #ukiapp,6973226148813606146,https://www.tiktok.com/@tiusicaagnes/video/6973226148813606146?lang=en,1517,205,323,39,"['uki', 'ukiapp']"
freaklines27,23500,2021-06-13,Want to try this tips but didnt have a partner? Download Uki so you can find a new partner in here https://uki.booyah.cc/mobile/ #uki #ukiapp,6973249128281279745,https://www.tiktok.com/@freaklines27/video/6973249128281279745?lang=en,101300,243,1439,69,"['uki', 'ukiapp']"
yudiharians1,16800,2021-06-13,yuk buruan download aplikasi UKI https://uki.booyah.cc/mobile/ #uki #ukiapp kita ketemu disana ya,6973273592645651714,https://www.tiktok.com/@yudiharians1/video/6973273592645651714?lang=en,147800,134,997,55,"['uki', 'ukiapp']"
yurayurari10,440,2021-06-14,Nah yg ini buat cewe girls. Makanya cari yg pasti aja di #Uki #Ukiapp https://uki.booyah.cc/mobile/,6973341292982045953,https://www.tiktok.com/@yurayurari10/video/6973341292982045953?lang=en,942,112,120,54,"['uki', 'ukiapp']"
kennie92,42200,2021-06-13,apa arti sesungguhnya ucapan pria ?? ad yg tau gak yuk download aplikasi UKI sekarang ya hhtps://uki.booyah.cc/mobile/ #uki #ukiapp,6973323843272232194,https://www.tiktok.com/@kennie92/video/6973323843272232194?lang=en,100700,13,107,19,"['uki', 'ukiapp']"
